"expression","example_fr","example_en"
"E:A:.p.-","défini | le","definite | the"
"E:A:.x.-","avec","with"
"E:M:.M:O:.-","pourquoi | raison | cause | rôle","why | because | reason | cause | role"
"E:M:.S:O:.-","cause formelle | rôle formel","formal cause | formal role"
"E:M:.B:O:.-","cause fonctionnelle | rôle fonctionnel","functional cause | functional role"
"E:M:.T:O:.-","cause existentielle | rôle existentiel","existential cause | existential role"
"E:M:.j.-","cause formelle virtuelle","virtual formal cause"
"E:M:.g.-","cause formelle actuelle","actual formal cause"
"E:M:.h.-","cause functionelle virtuelle","virtual functional cause"
"E:M:.c.-","opérande","actual functional cause"
"E:M:.p.-",NULL,"virtual existential cause"
"E:M:.x.-",NULL,"actual existential cause"
"E:S:.M:O:.-","cause spécifiante","specifying cause"
"E:S:.j.-","ensemble","set"
"E:S:.g.-","élément","element"
"E:S:.h.-","opérateur","operator"
"E:S:.c.-","opérande","operand"
"E:S:.p.-","tout","whole"
"E:S:.x.-","partie","part"
"E:B:.M:O:.-","cause interactive","interactive cause"
"E:B:.j.-","mutation","mutation"
"E:B:.g.-","séléction","selection"
"E:B:.h.-","opération","operation"
"E:B:.c.-","variable","variable"
"E:B:.p.-","patient","patient"
"E:B:.x.-","agent","agent"
"E:T:.M:O:.-","cause réalisante","realizing cause"
"E:T:.j.-","structure","structure"
"E:T:.g.-","matière","matter"
"E:T:.h.-","machine","machine"
"E:T:.c.-","état (d'une machine)","state (of a machine)"
"E:T:.p.-","but | pour | finalité","goal | for | purpose"
"E:T:.x.-","moyen","mean"
"E:M:.M:M:.-","où | lieu lieu selon l'orientation de trajet (adverbe | préposition | conjonction)","where | place according to path orientation (adverb | preposition | conjunction)"
"E:M:.s.-","commencement structurel","structural beginning"
"E:M:.b.-","commencement dynamique","dynamic beginning"
"E:M:.t.-","commencement dans l'espace relatif","relative space beginning"
"E:M:.k.-","intermédiaire structurel","structural intermediary"
"E:M:.m.-","intermediaire dynamique","dynamic intermediary"
"E:M:.n.-","intermédiaire dans l'espace relatif","relative space intermediary"
"E:M:.d.-","terminaison structurelle","structural termination"
"E:M:.f.-","terminaison dynamique","dynamic termination"
"E:M:.l.-","terminaison dans l'espace relatif","relative space termination"
"E:S:.M:M:.-","orientation dans les graphes","orientation in graphs"
"E:S:.s.-","origine","origin"
"E:S:.b.-","source","source"
"E:S:.t.-","(point de) départ","departure (point)"
"E:S:.k.-","canal","channel"
"E:S:.m.-","flux | courant","flux | stream"
"E:S:.n.-","voyage | trajet","travel | route"
"E:S:.d.-","(à la) fin","(at the) end"
"E:S:.f.-","puits","well"
"E:S:.l.-","(point d')arrivée","(point of) arrival"
"E:B:.M:M:.-","orientation subjective","subjective orientation"
"E:B:.s.-","dans l'(espace) ouvert","in open (space)"
"E:B:.b.-","à gauche de","at the left"
"E:B:.t.-","loin | là-bas","far | over there"
"E:B:.k.-","à la limite de","at the limit of"
"E:B:.m.-","médiane entre gauche & droite","medium between left & right"
"E:B:.n.-","proche de","near"
"E:B:.d.-","dans l'(espace) fermé","in closed (space)"
"E:B:.f.-","à droite de","at the right of"
"E:B:.l.-","à cet endroit | ici même","at the place | here"
"E:T:.M:M:.-","orientation d'entrée-sortie","in-out orientation"
"E:T:.s.-","(à partir) de","from"
"E:T:.b.-","(passage) hors de","(passage) out of"
"E:T:.t.-","en dehors","outside"
"E:T:.k.-","par (itinéraire | véhicule)","by (itinerary | vehicle)"
"E:T:.m.-","à travers","through"
"E:T:.n.-","inter | entre","inter | between"
"E:T:.d.-","vers","towards"
"E:T:.f.-","dans (une entrée)","into (an entrance)"
"E:T:.l.-","dans | dedans","in | inside"
"E:O:.M:M:.-","où | lieu selon l'orientation axiale (adverbe | préposition | conjonction)","where | place according to axial orientation (adverb | preposition | conjunction)"
"E:O:.S:M:.-","face | haut | avant","face | top | before"
"E:O:.B:M:.-","milieu | centre | pendant","core | centre | during"
"E:O:.T:M:.-","bas | dessous | derrière | après","low | under | behind | after"
"E:O:.s.-","haut (direction) | devant (direction)","top (direction) | front (direction)"
"E:O:.b.-","haut (en relation à une partie) | devant (en relation à une partie)","top (relative to a part) | front (relative to a part)"
"E:O:.t.-","haut (en relation au tout) | devant (en relation au tout) | avant (temps spatialisé)","top (relative to whole) | front (relative to whole) | before (spatialized time)"
"E:O:.k.-","milieu (direction) | centre (direction)","middle (direction) | center (direction)"
"E:O:.m.-","milieu (en relation à une partie) | centre (en relation à une partie)","middle (relative to a part) | center (relative to a part)"
"E:O:.n.-","milieu (en relation au tout) | centre (en relation au tout) | pendant (temps spatialisé)","middle (relative to whole) | center (relative to whole) | during (spatialized time)"
"E:O:.d.-","bas (direction) | derrière (direction)","low (direction) | behind (direction)"
"E:O:.f.-","bas (en relation à une partie) | derrière (en relation à une partie)","low (relative to a part) | behind (relative to a part)"
"E:O:.l.-","bas (en relation au tout) | derrière (en relation au tout) | après (temps spatialisé)","low (relative to whole) | behind (relative to whole) | after (spatialized time)"
"E:U:.M:M:.-","axe vertical","vertical axis"
"E:U:.s.-","en haut | vers le haut","up | towards the top"
"E:U:.b.-","sur","onto"
"E:U:.t.-","au sommet | à la tête","at the top | at the head"
"E:U:.k.-","direction horizontale | même hauteur","horizontal direction | same height"
"E:U:.m.-","au même niveau que","at same level as"
"E:U:.n.-","à mi-hauteur | au niveau de base","at half the height | at base level"
"E:U:.d.-","en dessous | vers le bas","down | downwards"
"E:U:.f.-","sous","under"
"E:U:.l.-","en bas | au pied de | à la base","at the bottom | at the foot"
"E:A:.M:M:.-","axe horizontal","horizontal axis"
"E:A:.s.-","en avant | vers l'avant","ahead | towards the front"
"E:A:.b.-","devant | en face de","in front of"
"E:A:.t.-","avant","before"
"E:A:.k.-","vers le coeur | vers le centre","towards the core | towards the center"
"E:A:.m.-","au milieu de","in the middle of"
"E:A:.n.-","pendant","during"
"E:A:.d.-","vers l'arrière","towards the back"
"E:A:.f.-","derrière","behind"
"E:A:.l.-","après","after"
"n.o.-y.y.-s.y.-'","encyclopédie","encyclopedia"
"s.o.-i.i.-s.y.-'","théorie en sciences de la nature","scientific theory of nature"
"b.o.-i.i.-s.y.-'","imagerie scientifique","scientific imaging"
"t.o.-i.i.-s.y.-'","modèle prédictif","predictive model"
"k.o.-i.i.-s.y.-'","recherche et développement","research and development"
"m.o.-i.i.-s.y.-'","médecine","medicine"
"n.o.-i.i.-s.y.-'","chimie","chemistry"
"d.o.-i.i.-s.y.-'","protocole d'expérimentation | protocole d'observation","experimental protocol | observational protocol"
"f.o.-i.i.-s.y.-'","biologie","biology"
"l.o.-i.i.-s.y.-'","physique","physics"
"s.o.-y.y.-'","méthode scientifique","scientific method"
"b.o.-y.y.-'","communication scientifique","scientific communication"
"t.o.-y.y.-'","discipline artistique | discipline scientifique","artistic discipline | scientific discipline"
"k.o.-y.y.-'","communauté savante","scholar community"
"m.o.-y.y.-'","objet de controverse","controversial object"
"n.o.-y.y.-'","taxon scientifique","scientific taxon"
"d.o.-y.y.-'","paradigme | épistémé","paradigm | episteme"
"f.o.-y.y.-'","règle de goût | art poétique","rule of taste | poetic art"
"l.o.-y.y.-'","objet présenté","presented object"
"s.o.-o.o.-'","viabilité économique","economic sustainability"
"b.o.-o.o.-'","représentation collective","collective representation"
"t.o.-o.o.-'","identité institutionnelle","institutional identity"
"k.o.-o.o.-'","régime politique","political regime"
"m.o.-o.o.-'","problème social","social problem"
"n.o.-o.o.-'","jurisprudence","case law"
"d.o.-o.o.-'","transparence financière","financial transparency"
"f.o.-o.o.-'","collaborateur","collaborator"
"l.o.-o.o.-'","coordonnées personnelles","personal coordinates"
"s.o.-e.e.-'","condition de travail","work conditions"
"b.o.-e.e.-'","développement professionnel","professional development"
"t.o.-e.e.-'","profession | métier","profession | craft | trade"
"k.o.-e.e.-'","corporation","corporation"
"m.o.-e.e.-'","vocation","vocation"
"n.o.-e.e.-'","compétence","competence"
"d.o.-e.e.-'","degré de compétence","competence level"
"f.o.-e.e.-'","développement physique","physical developement"
"l.o.-e.e.-'","emploi","employment"
"s.o.-u.u.-'","signification","signification"
"b.o.-u.u.-'","langue naturelle","natural language"
"t.o.-u.u.-'","système de communication","communication system"
"k.o.-u.u.-'","manière de parler","manner of speaking"
"m.o.-u.u.-'","littérature ancienne","ancient literature"
"n.o.-u.u.-'","mot | morphème","word | morpheme"
"d.o.-u.u.-'","dossier","file"
"f.o.-u.u.-'","musique","music"
"l.o.-u.u.-'","réseau sémantique","semantic network"
"s.o.-a.a.-'","collectivité humaine","human collectivity"
"b.o.-a.a.-'","manière de penser","way of thinking"
"t.o.-a.a.-'","lignée","lineage"
"k.o.-a.a.-'","mouvement social","social movement"
"m.o.-a.a.-'","âme | psyché","soul | psyche"
"n.o.-a.a.-'","vie personelle","personal life"
"d.o.-a.a.-'","données économiques | données sociales","economic data | social data"
"f.o.-a.a.-'","population humaine","human population"
"l.o.-a.a.-'","réseau de personnes","network of people"
"s.o.-i.i.-'","possibilité conditionnée","conditioned possibility"
"b.o.-i.i.-'","représentation scientifique","scientific representation"
"t.o.-i.i.-'","relation cause-effet","cause-effect relation"
"k.o.-i.i.-'","technologie | procédé technique","technology | technical process"
"m.o.-i.i.-'","cure","cure"
"n.o.-i.i.-'","phénomène chimique","chemical phenomenon"
"d.o.-i.i.-'","fait empirique","empirical fact"
"f.o.-i.i.-'","phénomène biologique","biological phenomenon"
"l.o.-i.i.-'","phénomène physique","physical phenomenon"
"s.o.-j.j.-s.y.-'","philosophie","philosophy"
"b.o.-j.j.-s.y.-'","mathématiques","mathematics"
"t.o.-j.j.-s.y.-'","histoire des formes de conscience","history of forms of consciousness"
"k.o.-j.j.-s.y.-'","écologie cognitive","cognitive ecology"
"m.o.-j.j.-s.y.-'","beaux-arts","fine arts"
"n.o.-j.j.-s.y.-'","cosmologie","cosmology"
"d.o.-j.j.-s.y.-'","logique","logic"
"f.o.-j.j.-s.y.-'","théories de l'évolution","evolution theories"
"l.o.-j.j.-s.y.-'","sciences de la Terre","Earth sciences"
"s.o.-g.g.-s.y.-'","théories de la communication","communication theories"
"b.o.-g.g.-s.y.-'","études du symbolisme","symbolic studies"
"t.o.-g.g.-s.y.-'","épigraphie | études des langues anciennes","epigraphy | study of ancient languages"
"k.o.-g.g.-s.y.-'","études du journalisme","journalism studies"
"m.o.-g.g.-s.y.-'","sondages | enquêtes d'opinion","polls | survey studies"
"n.o.-g.g.-s.y.-'","études transculturelles","transcultural studies"
"d.o.-g.g.-s.y.-'","psychologie cognitive","cognitive psychology"
"f.o.-g.g.-s.y.-'","écologie | agronomie","ecology | agronomy"
"l.o.-g.g.-s.y.-'","études du tourisme | hôtellerie | études de la restauration","tourism studies | hotel studies | restaurant studies"
"s.o.-h.h.-s.y.-'","théologie","theology"
"b.o.-h.h.-s.y.-'","herméneutique","hermeneutics"
"t.o.-h.h.-s.y.-'","histoire sacrée","sacred history"
"k.o.-h.h.-s.y.-'","ecclésiologie","ecclesiology"
"m.o.-h.h.-s.y.-'","hagiographie","hagiography"
"n.o.-h.h.-s.y.-'","études sur les droits humains","human rights studies"
"d.o.-h.h.-s.y.-'","études des religions","religion studies"
"f.o.-h.h.-s.y.-'","bioéthique | éthique médicale","bioethics | medical ethics"
"l.o.-h.h.-s.y.-'","géographie sacrée | architecture sacrée","sacred geography | sacred architecture"
"s.o.-c.c.-s.y.-'","anthropologie","anthropology"
"b.o.-c.c.-s.y.-'","économie de l'information","information economy"
"t.o.-c.c.-s.y.-'","sciences historiques","historical sciences"
"k.o.-c.c.-s.y.-'","études urbaines","urban studies"
"m.o.-c.c.-s.y.-'","sciences de la médiation","mediation studies"
"n.o.-c.c.-s.y.-'","études ethniques","ethnic studies"
"d.o.-c.c.-s.y.-'","études financières","financial studies"
"f.o.-c.c.-s.y.-'","études des femmes & de genre","women's & gender studies"
"l.o.-c.c.-s.y.-'","géographie","geography"
"s.o.-p.p.-s.y.-'","théories de l'apprentissage","learning theories"
"b.o.-p.p.-s.y.-'","pragmatique | rhétorique","pragmatics | rhetoric"
"t.o.-p.p.-s.y.-'","histoire des relations internationales","history of international relations"
"k.o.-p.p.-s.y.-'","économie","economy"
"m.o.-p.p.-s.y.-'","études de la publicité","advertisement studies"
"n.o.-p.p.-s.y.-'","études de la gouvernance internationale","international governance studies"
"d.o.-p.p.-s.y.-'","sciences du renseignement","intelligence studies"
"f.o.-p.p.-s.y.-'","sciences de la santé","health sciences"
"l.o.-p.p.-s.y.-'","études stratégiques","strategic studies"
"s.o.-x.x.-s.y.-'","didactique","didactics"
"b.o.-x.x.-s.y.-'","études des médias","media studies"
"t.o.-x.x.-s.y.-'","archéologie | histoire matérielle","archeology | artefact studies"
"k.o.-x.x.-s.y.-'","études du commerce international","international commerce studies"
"m.o.-x.x.-s.y.-'","études du marketing","marketing studies"
"n.o.-x.x.-s.y.-'","éthique juridique | criminologie","law ethics | criminology"
"d.o.-x.x.-s.y.-'","sciences médico-légales","forensic science"
"f.o.-x.x.-s.y.-'","biologie médicale","medical biology"
"l.o.-x.x.-s.y.-'","logistique | études des transports","logistics | transport studies"
"s.o.-j.j.-'","concept philosophique","philosophical concept"
"b.o.-j.j.-'","structure formelle","formal structure"
"t.o.-j.j.-'","forme de conscience","form of consciousness"
"k.o.-j.j.-'","écosystème cognitif","cognitive ecosystem"
"m.o.-j.j.-'","œuvre d'art","work of art"
"n.o.-j.j.-'","Univers","Universe"
"d.o.-j.j.-'","raisonnement valide","valid reasoning"
"f.o.-j.j.-'","dynamique évolutive","evolutionary dynamics"
"l.o.-j.j.-'","planète Terre","planet Earth"
"s.o.-g.g.-'","forme de communication","form of communication"
"b.o.-g.g.-'","représentation transversale","transversal representation"
"t.o.-g.g.-'","inscription ancienne","ancient inscription"
"k.o.-g.g.-'","discours public","public discourse"
"m.o.-g.g.-'","tendance de l'opinion","trend of opinion"
"n.o.-g.g.-'","relation transculturelle","transcultural relation"
"d.o.-g.g.-'","fonction cognitive","cognitive function"
"f.o.-g.g.-'","contrôle des écosystèmes","ecosystem control"
"l.o.-g.g.-'","touriste","tourist"
"s.o.-h.h.-'","transcendance","transcendence"
"b.o.-h.h.-'","enseignement spirituel","spiritual teaching"
"t.o.-h.h.-'","sens de l'histoire","meaning of history"
"k.o.-h.h.-'","congrégation | organisation des fidèles","congregation | organization of the faithful"
"m.o.-h.h.-'","saints | grands exemples","saints | great examples"
"n.o.-h.h.-'","droits humains","human rights"
"d.o.-h.h.-'","pratiques religieuses | croyances religieuses","religious practices | religious beliefs"
"f.o.-h.h.-'","droits du vivant","rights of the living"
"l.o.-h.h.-'","paysage sacré | espace sacré","sacred landscape | sacred space"
"s.o.-c.c.-'","espèce humaine","human species"
"b.o.-c.c.-'","flux d'information","information flux"
"t.o.-c.c.-'","mémoire collective","collective memory"
"k.o.-c.c.-'","relations urbaines | liens sociaux","urban relations | social bonds"
"m.o.-c.c.-'","résolution de conflit","conflict resolution"
"n.o.-c.c.-'","singularité culturelle","cultural singularity"
"d.o.-c.c.-'","manipulation monétaire","monetary manipulation"
"f.o.-c.c.-'","relations de genre","gender relations"
"l.o.-c.c.-'","relation locale","local relation"
"s.o.-p.p.-'","mécanismes d'apprentissage","learning mechanisms"
"b.o.-p.p.-'","actes de langage","language acts"
"t.o.-p.p.-'","relations internationales","international relations"
"k.o.-p.p.-'","production | échange | consommation","production | trade | consumption"
"m.o.-p.p.-'","image de marque (brand)","brand"
"n.o.-p.p.-'","communauté internationale","international community"
"d.o.-p.p.-'","opacité","opacity"
"f.o.-p.p.-'","santé publique","public health"
"l.o.-p.p.-'","rapport de force","power struggle"
"s.o.-x.x.-'","méthodes d'enseignement","teaching methods"
"b.o.-x.x.-'","technique de communication","communication technique"
"t.o.-x.x.-'","patrimoine collectif","collective heritage"
"k.o.-x.x.-'","échanges internationaux","international trade"
"m.o.-x.x.-'","marketing | mise en marché","marketing | distribution on the market"
"n.o.-x.x.-'","crime | délit","crime | offence"
"d.o.-x.x.-'","preuves | indices","pieces of evidence | clues"
"f.o.-x.x.-'","biomolécule active","active biomolecule"
"l.o.-x.x.-'","fourniture à grande échelle","supply on a large scale"
"U:U:E:.","générer des possibilités","to generate possibilities"
"U:A:E:.","opérer","to operate"
"A:U:E:.","percevoir","to perceive"
"A:A:E:.","reconstituer","to reconstitute"
"e.y.-","faire la synthèse","to synthetize"
"e.o.-","concevoir | planifier","to design | to plan"
"e.e.-","exercer une compétence","to exercise a competence"
"e.u.-","delibérer","to deliberate"
"e.a.-","demander","to demand"
"e.i.-","donner","to give"
"O:M:.M:M:.-","fragiliser le développement humain","to undermine human development"
"M:M:.-M:.O:.-'","six directions abstraites","six abstract directions"
"M:M:.-S:.U:.-'","nord abstrait","abstract north"
"E:F:.M:M:.-","où | lieu","where | place"
"O:M:.O:M:.-we.h.-'","perfectionner l'intelligence collective","to improve collective intelligence"
"O:M:.y.-we.h.-'","perfectionner l'intelligence collective en augmentant le savoir","to improve collective intelligence by augmenting knowledge"
"O:M:.u.-we.h.-'","perfectionner l'intelligence collective en augmentant la communication","to improve collective intelligence by augmenting communication"
"O:M:.a.-we.h.-'","perfectionner l'intelligence collective en améliorant le lien social","to improve collective intelligence by augmenting the social bond"
"O:M:.i.-we.h.-'","perfectionner l'intelligence collective en augmentant les processus","to improve collective intelligence by augmenting the processes"
"y.O:M:.-we.h.-'","perfectionner l'intelligence collective en s'appuyant sur le savoir","to improve collective intelligence by relying on knowledge"
"y.y.-we.h.-'","clarifier la connaissance","Clarify knowledge"
"y.o.-we.h.-'","définir les problèmes","Define problems"
"y.e.-we.h.-'","proposer des solutions","Propose solutions"
"y.u.-we.h.-'","enregistrer une œuvre de l'esprit","Record a work of the mind"
"y.a.-we.h.-'","innover en matière sociale","Innovate in social matters"
"y.i.-we.h.-'","transférer des connaissances en pratique","Transfer knowledge in the practical field"
"o.O:M:.-we.h.-'","perfectionner l'intelligence collective par l'orientation","to improve collective intelligence by orientation"
"o.y.-we.h.-'","orienter la recherche","Orient research"
"o.o.-we.h.-'","approfondir la vision","Deepen a view"
"o.e.-we.h.-'","éduquer","Educate"
"o.u.-we.h.-'","filtrer l'information","Filter information"
"o.a.-we.h.-'","affirmer des valeurs culturelles","Assert cultural values"
"o.i.-we.h.-'","orienter la production","Orient production"
"e.O:M:.-we.h.-'","perfectionner l'intelligence collective en utilisant le pouvoir","to improve collective intelligence by using power"
"e.y.-we.h.-'","outiller la recherche","Provide tools for research"
"e.o.-we.h.-'","poser des normes & standards","Establish norms & standards"
"e.e.-we.h.-'","résoudre les problèmes","Solve problems"
"e.u.-we.h.-'","outiller la recherche d'information","Provide tools for information search"
"e.a.-we.h.-'","enrichir la communauté","Enrich the community"
"e.i.-we.h.-'","attirer l'investissement | favoriser l'investissement","Draw investments | to stimulate investments"
"u.O:M:.-we.h.-'","perfectionner l'intelligence collective en utilisant la communication","to improve collective intelligence by using communication"
"u.y.-we.h.-'","préciser l'information","Specify information"
"u.o.-we.h.-'","résumer en vue de la gouvernance","Summarize for governance"
"u.e.-we.h.-'","produire du matériel didactique","Produce didactic materials"
"u.u.-we.h.-'","mettre en cohérence","Bring consistency"
"u.a.-we.h.-'","cultiver la mémoire collective","Cultivate collective memory"
"u.i.-we.h.-'","donner la parole | écouter","Invite someone to address | to listen"
"a.O:M:.-we.h.-'","perfectionner l'intelligence collective en utilisant le lien social","to improve collective intelligence by using the social bond"
"a.y.-we.h.-'","investir dans la recherche","Invest in research"
"a.o.-we.h.-'","déléguer la gouvernance","Delegate governance"
"a.e.-we.h.-'","cultiver le développement humain","Cultivate human development"
"a.u.-we.h.-'","ouvrir l'espace public","Open public space"
"a.a.-we.h.-'","créer la confiance","Create trust"
"a.i.-we.h.-'","organiser le travail","Organize the work"
"i.O:M:.-we.h.-'","perfectionner l'intelligence collective en utilisant les processus","to improve collective intelligence by using processes"
"i.y.-we.h.-'","outiller la pensée","Provide tools for thought"
"i.o.-we.h.-'","créer des opportunités","Create opportunities"
"i.e.-we.h.-'","investir dans les affaires","Invest in business"
"i.u.-we.h.-'","prendre la parole","Speak out"
"i.i.-we.h.-'","assurer la compatibilité","Guarantee compatibility"
"M:M:.o.-y.y.-s.y.-'","connaissance des arts et des sciences","knowledge of arts and sciences"
"M:M:.o.-o.o.-s.y.-'","sciences de l'orientation et de l'administration des institutions","sciences of orientation and administration of institutions"
"M:M:.o.-e.e.-s.y.-'","sciences des compétences","sciences of competences"
"M:M:.o.-u.u.-s.y.-'","sciences des messages et de la communication","sciences of messages and communication"
"M:M:.o.-a.a.-s.y.-'","sciences des personnes en société","sciences of people in society"
"M:M:.o.-i.i.-s.y.-'","sciences de la nature","sciences of nature"
"M:M:.o.-M:M:.o.-'","fonctions anthropologiques","anthropological functions"
"s.o.-s.o.-'","esprit","mind"
"s.o.-b.o.-'","inspiration","inspiration"
"s.o.-t.o.-'","création","creation"
"s.o.-k.o.-'","intelligence collective","collective intelligence"
"s.o.-m.o.-'","humour","humor"
"s.o.-n.o.-'","méditation","meditation"
"s.o.-d.o.-'","humilité","humility"
"s.o.-f.o.-'","incarnation","embodiment"
"s.o.-l.o.-'","proportion","proportion"
"b.o.-s.o.-'","interprétation","interpretation"
"b.o.-b.o.-'","négation","negation"
"b.o.-t.o.-'","promesse","promise"
"b.o.-k.o.-'","communication","communication"
"b.o.-m.o.-'","beauté","beauty"
"b.o.-n.o.-'","poésie","poetry"
"b.o.-d.o.-'","clarté","clarity"
"b.o.-f.o.-'","courage","courage"
"b.o.-l.o.-'","transmission","transmission"
"t.o.-s.o.-'","prévision","forecast"
"t.o.-b.o.-'","récit","narrative"
"t.o.-t.o.-'","changement","change"
"t.o.-k.o.-'","tradition","tradition"
"t.o.-n.o.-'","calendrier","calendar"
"t.o.-d.o.-'","pertinence","relevance"
"t.o.-f.o.-'","rythme","rhythm"
"t.o.-l.o.-'","harmonie","harmony"
"k.o.-s.o.-'","gouvernement","government"
"k.o.-b.o.-'","conversation","conversation"
"k.o.-t.o.-'","histoire","history"
"k.o.-k.o.-'","paix","peace"
"k.o.-m.o.-'","amitié","friendship"
"k.o.-d.o.-'","honnêteté","honesty"
"k.o.-f.o.-'","collaboration","collaboration"
"k.o.-l.o.-'","institution","institution"
"m.o.-s.o.-'","intérêt","interest"
"m.o.-b.o.-'","expression","expression"
"m.o.-t.o.-'","loyauté","loyalty"
"m.o.-k.o.-'","compassion","compassion"
"m.o.-m.o.-'","amour","love"
"m.o.-n.o.-'","sagesse","wisdom"
"m.o.-d.o.-'","sincérité","sincerity"
"m.o.-f.o.-'","séduction","seduction"
"m.o.-l.o.-'","générosité","generosity"
"n.o.-s.o.-'","culture","culture"
"n.o.-b.o.-'","style","style"
"n.o.-t.o.-'","progrès","progress"
"n.o.-k.o.-'","religion","religion"
"n.o.-m.o.-'","foi","faith"
"n.o.-n.o.-'","être humain","human being"
"n.o.-d.o.-'","évaluation","evaluation"
"n.o.-f.o.-'","santé","health"
"n.o.-l.o.-'","cosmos","cosmos"
"d.o.-s.o.-'","raisonnement","reasoning"
"d.o.-b.o.-'","description","description"
"d.o.-t.o.-'","apprentissage","learning"
"d.o.-k.o.-'","sécurité","security"
"d.o.-m.o.-'","intuition","intuition"
"d.o.-n.o.-'","science","science"
"d.o.-d.o.-'","investigation","investigation"
"d.o.-f.o.-'","expérience","experience"
"d.o.-l.o.-'","ordre","order"
"f.o.-s.o.-'","imaginaire","imaginary"
"f.o.-t.o.-'","croissance","growth"
"f.o.-k.o.-'","rite","rite"
"f.o.-m.o.-'","passion","passion"
"f.o.-n.o.-'","danse","dance"
"f.o.-d.o.-'","attention","attention"
"f.o.-f.o.-'","corps","body"
"f.o.-l.o.-'","organisation","organisation"
"l.o.-s.o.-'","exploration","exploration"
"l.o.-t.o.-'","voyage","travel"
"l.o.-k.o.-'","territoire","territory"
"l.o.-m.o.-'","liberté","liberty"
"l.o.-n.o.-'","architecture","architecture"
"l.o.-d.o.-'","orientation","orientation"
"l.o.-l.o.-'","complexité","complexity"
"M:M:.o.-M:M:.o.-s.u.-'","qualités anthropologiques","anthropological qualities"
"s.o.-s.o.-s.u.-'","intelligent","intelligent"
"s.o.-b.o.-s.u.-'","inspiré","inspired"
"s.o.-t.o.-s.u.-'","créé","created"
"s.o.-k.o.-s.u.-'","conscient","conscious"
"s.o.-m.o.-s.u.-'","comique | drôle","comical | funny"
"s.o.-n.o.-s.u.-'","médité","﻿meditated"
"s.o.-d.o.-s.u.-'","humble","humble"
"s.o.-f.o.-s.u.-'","incarné","embodied"
"s.o.-l.o.-s.u.-'","proportionné","proportioned"
"b.o.-s.o.-s.u.-'","interprété","interpreted"
"b.o.-b.o.-s.u.-'","contraire","opposite"
"b.o.-t.o.-s.u.-'","promis","promised"
"b.o.-k.o.-s.u.-'","communiqué","communicated"
"b.o.-m.o.-s.u.-'","beau","beautiful"
"b.o.-n.o.-s.u.-'","poétique","poetical"
"b.o.-d.o.-s.u.-'","clair","clear"
"b.o.-f.o.-s.u.-'","courageux","courageous"
"b.o.-l.o.-s.u.-'","transmis","transmitted"
"t.o.-s.o.-s.u.-'","futur","future"
"t.o.-b.o.-s.u.-'","narré","narrated"
"t.o.-t.o.-s.u.-'","en transition | temporel","in transition | temporal"
"t.o.-k.o.-s.u.-'","traditionnel","traditional"
"t.o.-m.o.-s.u.-'","espéré","hoped for"
"t.o.-n.o.-s.u.-'","date","date"
"t.o.-d.o.-s.u.-'","pertinent","relevant"
"t.o.-f.o.-s.u.-'","périodique","periodical"
"t.o.-l.o.-s.u.-'","simultané","simultaneous"
"k.o.-s.o.-s.u.-'","gouverné","governed"
"k.o.-b.o.-s.u.-'","civil","civil"
"k.o.-t.o.-s.u.-'","passé","past"
"k.o.-k.o.-s.u.-'","pacifique","peaceful"
"k.o.-m.o.-s.u.-'","amical","friendly"
"k.o.-n.o.-s.u.-'","juste","just"
"k.o.-d.o.-s.u.-'","honnête","honest"
"k.o.-f.o.-s.u.-'","collaboratif","collaborative"
"k.o.-l.o.-s.u.-'","institué","instituted"
"m.o.-s.o.-s.u.-'","intéressant","interesting"
"m.o.-b.o.-s.u.-'","exprimé","expressed"
"m.o.-t.o.-s.u.-'","loyal","loyal"
"m.o.-k.o.-s.u.-'","bienveillant","benevolent"
"m.o.-m.o.-s.u.-'","amoureux","in love"
"m.o.-n.o.-s.u.-'","sage","wise"
"m.o.-d.o.-s.u.-'","sincère","sincere"
"m.o.-f.o.-s.u.-'","séduisant","seductive"
"m.o.-l.o.-s.u.-'","offert","offered"
"n.o.-s.o.-s.u.-'","cultivé","cultivated"
"n.o.-b.o.-s.u.-'","stylé","stylish"
"n.o.-t.o.-s.u.-'","en progrès","in progress"
"n.o.-k.o.-s.u.-'","religieux","religious"
"n.o.-m.o.-s.u.-'","confiant","confident"
"n.o.-n.o.-s.u.-'","humain","human"
"n.o.-d.o.-s.u.-'","évalué | estimé","evaluated | assessed"
"n.o.-f.o.-s.u.-'","sain | en santé","healthy"
"n.o.-l.o.-s.u.-'","cosmique","cosmic"
"d.o.-s.o.-s.u.-'","raisonnable","reasonable"
"d.o.-b.o.-s.u.-'","décrit","described"
"d.o.-t.o.-s.u.-'","appris","learned"
"d.o.-k.o.-s.u.-'","sûr","sure"
"d.o.-m.o.-s.u.-'","intuitif","intuitive"
"d.o.-n.o.-s.u.-'","connu | su","known"
"d.o.-d.o.-s.u.-'","examiné","examined"
"d.o.-l.o.-s.u.-'","ordonné","ordered"
"f.o.-s.o.-s.u.-'","surréel | mythique","surreal | mythical"
"f.o.-b.o.-s.u.-'","joué","played"
"f.o.-t.o.-s.u.-'","en croissance","growing"
"f.o.-k.o.-s.u.-'","rituel","ritual"
"f.o.-m.o.-s.u.-'","joyeux","joyful"
"f.o.-n.o.-s.u.-'","pas | démarche","step | gait"
