"I:","information in general","information en general"
"E:A:.c.-","pro | for | support","pro | pour | adh√©sion"
"E:A:.p.-","definite | the","d√©fini | le"
"E:A:.x.-","with","avec"
"E:M:.M:O:.-","why (reason | cause | role)","pourquoi (raison | cause | r√¥le)"
"E:M:.S:O:.-","formal cause | formal role","cause formelle | r√¥le formel"
"E:M:.B:O:.-","functional cause | functional role","cause fonctionnelle | r√¥le fonctionnel"
"E:M:.T:O:.-","existential cause | existential role","cause existentielle | r√¥le existentiel"
"E:M:.j.-","virtual formal cause","cause formelle virtuelle"
"E:M:.g.-","actual formal cause","cause formelle actuelle"
"E:M:.h.-","virtual functional cause","cause functionelle virtuelle"
"E:M:.c.-","actual functional cause","op√©rande"
"E:M:.p.-","virtual existential cause","cause existentielle virtuelle"
"E:M:.x.-","actual existential cause","cause existentielle actuelle"
"E:S:.M:O:.-","specifying cause","cause sp√©cifiante"
"E:S:.j.-","set","ensemble"
"E:S:.g.-","element","√©l√©ment"
"E:S:.h.-","operator","op√©rateur"
"E:S:.c.-","operand","op√©rande"
"E:S:.p.-","whole","tout"
"E:S:.x.-","part","partie"
"E:B:.M:O:.-","interactive cause","cause interactive"
"E:B:.j.-","mutation","mutation"
"E:B:.g.-","selection","s√©l√©ction"
"E:B:.h.-","operation","op√©ration"
"E:B:.c.-","variable","variable"
"E:B:.p.-","patient","patient"
"E:B:.x.-","agent","agent"
"E:T:.M:O:.-","realizing cause","cause r√©alisante"
"E:T:.j.-","structure","structure"
"E:T:.g.-","matter","mati√®re"
"E:T:.h.-","machine","machine"
"E:T:.c.-","state (of an abstract machine)","√©tat (díune machine abstraite)"
"E:T:.p.-","goal | for | purpose","but | pour | finalit√©"
"E:T:.x.-","mean","moyen"
"E:M:.M:M:.-","where | place according to path orientation (adverb | preposition | conjunction)","o√π | lieu lieu selon líorientation de trajet (adverbe | pr√©position | conjonction)"
"E:M:.s.-","structural beginning","commencement structurel"
"E:M:.b.-","dynamic beginning","commencement dynamique"
"E:M:.t.-","relative space beginning","commencement dans líespace relatif"
"E:M:.k.-","structural intermediary","interm√©diaire structurel"
"E:M:.m.-","dynamic intermediary","intermediaire dynamique"
"E:M:.n.-","relative space intermediary","interm√©diaire dans líespace relatif"
"E:M:.d.-","structural termination","terminaison structurelle"
"E:M:.f.-","dynamic termination","terminaison dynamique"
"E:M:.l.-","relative space termination","terminaison dans líespace relatif"
"E:S:.M:M:.-","orientation in graphs","orientation dans les graphes"
"E:S:.s.-","origin","origine"
"E:S:.b.-","source","source"
"E:S:.t.-","departure (point)","(point de) d√©part"
"E:S:.k.-","channel","canal"
"E:S:.m.-","flux | stream","flux | courant"
"E:S:.n.-","travel | route","voyage | trajet"
"E:S:.d.-","(at the) end","(√† la) fin"
"E:S:.f.-","well","puits"
"E:S:.l.-","(point of) arrival","(point dí)arriv√©e"
"E:B:.M:M:.-","subjective orientation","orientation subjective"
"E:B:.s.-","in open (space)","dans lí(espace) ouvert"
"E:B:.b.-","at the left","√† gauche de"
"E:B:.t.-","far | over there","loin | l√†-bas"
"E:B:.k.-","at the limit of","√† la limite de"
"E:B:.m.-","medium between left & right","m√©diane entre gauche & droite"
"E:B:.n.-","near","proche de"
"E:B:.d.-","in closed (space)","dans lí(espace) ferm√©"
"E:B:.f.-","at the right of","√† droite de"
"E:B:.l.-","at the place | here","√† cet endroit | ici m√™me"
"E:T:.M:M:.-","in-out orientation","orientation díentr√©e-sortie"
"E:T:.s.-","from","(√† partir) de"
"E:T:.b.-","(passage) out of","(passage) hors de"
"E:T:.t.-","outside","en dehors"
"E:T:.k.-","by (itinerary | vehicle)","par (itin√©raire | v√©hicule)"
"E:T:.m.-","through","√† travers"
"E:T:.n.-","inter | between","inter | entre"
"E:T:.d.-","towards","vers"
"E:T:.f.-","into (an entrance)","dans (une entr√©e)"
"E:T:.l.-","in | inside","dans | dedans"
"E:O:.M:M:.-","where | place according to axial orientation (adverb | preposition | conjunction)","o√π | lieu selon líorientation axiale (adverbe | pr√©position | conjonction)"
"E:O:.S:M:.-","face | top | before","face | haut | avant"
"E:O:.B:M:.-","core | centre | during","milieu | centre | pendant"
"E:O:.T:M:.-","low | under | behind | after","bas | dessous | derri√®re | apr√®s"
"E:O:.s.-","top (direction) | front (direction)","haut (direction) | devant (direction)"
"E:O:.b.-","top (relative to a part) | front (relative to a part)","haut (en relation √† une partie) | devant (en relation √† une partie)"
"E:O:.t.-","top (relative to whole) | front (relative to whole) | before (spatialized time)","haut (en relation au tout) | devant (en relation au tout) | avant (temps spatialis√©)"
"E:O:.k.-","middle (direction) | center (direction)","milieu (direction) | centre (direction)"
"E:O:.m.-","middle (relative to a part) | center (relative to a part)","milieu (en relation √† une partie) | centre (en relation √† une partie)"
"E:O:.n.-","middle (relative to whole) | center (relative to whole) | during (spatialized time)","milieu (en relation au tout) | centre (en relation au tout) | pendant (temps spatialis√©)"
"E:O:.d.-","low (direction) | behind (direction)","bas (direction) | derri√®re (direction)"
"E:O:.f.-","low (relative to a part) | behind (relative to a part)","bas (en relation √† une partie) | derri√®re (en relation √† une partie)"
"E:O:.l.-","low (relative to whole) | behind (relative to whole) | after (spatialized time)","bas (en relation au tout) | derri√®re (en relation au tout) | apr√®s (temps spatialis√©)"
"E:U:.M:M:.-","vertical axis","axe vertical"
"E:U:.s.-","up | towards the top","en haut | vers le haut"
"E:U:.b.-","onto","sur"
"E:U:.t.-","at the top | at the head","au sommet | √† la t√™te"
"E:U:.k.-","horizontal direction | same height","direction horizontale | m√™me hauteur"
"E:U:.m.-","at same level as","au m√™me niveau que"
"E:U:.n.-","at half the height | at base level","√† mi-hauteur | au niveau de base"
"E:U:.d.-","down | downwards","en dessous | vers le bas"
"E:U:.f.-","under","sous"
"E:U:.l.-","at the bottom | at the foot","en bas | au pied de | √† la base"
"E:A:.M:M:.-","horizontal axis","axe horizontal"
"E:A:.s.-","ahead | towards the front","en avant | vers líavant"
"E:A:.b.-","in front of","devant | en face de"
"E:A:.t.-","before","avant"
"E:A:.k.-","towards the core | towards the center","vers le coeur | vers le centre"
"E:A:.m.-","in the middle of","au milieu de"
"E:A:.n.-","during","pendant"
"E:A:.d.-","towards the back","vers líarri√®re"
"E:A:.f.-","behind","derri√®re"
"E:A:.l.-","after","apr√®s"
"e.y.-","synthetize","faire la synth√®se"
"e.o.-","design | plan","concevoir | planifier"
"e.e.-","exercise a competence","exercer une comp√©tence"
"e.u.-","deliberate","delib√©rer"
"e.a.-","demand","demander"
"e.i.-","give","donner"
"O:M:.M:M:.-","undermine human development","fragiliser le d√©veloppement humain"
"M:M:.-M:.O:.-í","six abstract directions","six directions abstraites"
"M:M:.-S:.U:.-í","abstract north","nord abstrait"
"E:F:.M:M:.-","where | place","o√π | lieu"
"O:M:.O:M:.-we.h.-í","improve collective intelligence","perfectionner líintelligence collective"
"O:M:.y.-we.h.-í","improve collective intelligence by augmenting knowledge","perfectionner líintelligence collective en augmentant le savoir"
"O:M:.u.-we.h.-í","improve collective intelligence by augmenting communication","perfectionner líintelligence collective en augmentant la communication"
"O:M:.a.-we.h.-í","improve collective intelligence by augmenting the social bond","perfectionner líintelligence collective en am√©liorant le lien social"
"O:M:.i.-we.h.-í","improve collective intelligence by augmenting processes","perfectionner líintelligence collective en augmentant les processus"
"y.O:M:.-we.h.-í","improve collective intelligence through knowledge","perfectionner líintelligence collective en síappuyant sur le savoir"
"y.y.-we.h.-í","clarify knowledge","clarifier la connaissance"
"y.o.-we.h.-í","define problems","d√©finir les probl√®mes"
"y.e.-we.h.-í","propose solutions","proposer des solutions"
"y.u.-we.h.-í","record a work of the mind","enregistrer une ≈ìuvre de líesprit"
"y.a.-we.h.-í","innovate in social matters","innover en mati√®re sociale"
"y.i.-we.h.-í","transfer knowledge in the practical field","transf√©rer des connaissances en pratique"
"o.O:M:.-we.h.-í","improve collective intelligence through orientation","perfectionner líintelligence collective par líorientation"
"o.y.-we.h.-í","orient research","orienter la recherche"
"o.o.-we.h.-í","deepen the vision","approfondir la vision"
"o.e.-we.h.-í","educate","√©duquer"
"o.u.-we.h.-í","filter information","filtrer líinformation"
"o.a.-we.h.-í","assert cultural values","affirmer des valeurs culturelles"
"o.i.-we.h.-í","orient production","orienter la production"
"e.O:M:.-we.h.-í","improve collective intelligence through power","perfectionner líintelligence collective en utilisant le pouvoir"
"e.y.-we.h.-í","provide tools for research","outiller la recherche"
"e.o.-we.h.-í","establish norms & standards","poser des normes & standards"
"e.e.-we.h.-í","solve problems","r√©soudre les probl√®mes"
"e.u.-we.h.-í","provide tools for information search","outiller la recherche díinformation"
"e.a.-we.h.-í","enrich the community","enrichir la communaut√©"
"e.i.-we.h.-í","draw investments | stimulate investments","attirer líinvestissement | favoriser líinvestissement"
"u.O:M:.-we.h.-í","to improve collective intelligence through communication","perfectionner líintelligence collective en utilisant la communication"
"u.y.-we.h.-í","specify information","pr√©ciser líinformation"
"u.o.-we.h.-í","Summarize for governance","r√©sumer en vue de la gouvernance"
"u.e.-we.h.-í","produce didactic materials","produire du mat√©riel didactique"
"u.u.-we.h.-í","bring consistency","mettre en coh√©rence"
"u.a.-we.h.-í","cultivate collective memory","cultiver la m√©moire collective"
"u.i.-we.h.-í","invite someone to address | listen","donner la parole | √©couter"
"a.O:M:.-we.h.-í","to improve collective intelligence through the social bond","perfectionner líintelligence collective en utilisant le lien social"
"a.y.-we.h.-í","Invest in research","investir dans la recherche"
"a.o.-we.h.-í","delegate governance","d√©l√©guer la gouvernance"
"a.e.-we.h.-í","cultivate human development","cultiver le d√©veloppement humain"
"a.u.-we.h.-í","open public space","ouvrir líespace public"
"a.a.-we.h.-í","create trust","cr√©er la confiance"
"a.i.-we.h.-í","organize the work","organiser le travail"
"i.O:M:.-we.h.-í","to improve collective intelligence through processes","perfectionner líintelligence collective en utilisant les processus"
"i.y.-we.h.-í","provide tools for thought","outiller la pens√©e"
"i.o.-we.h.-í","create opportunities","cr√©er des opportunit√©s"
"i.e.-we.h.-í","invest in business","investir dans les affaires"
"i.u.-we.h.-í","speak out","prendre la parole"
"i.i.-we.h.-í","guarantee compatibility","assurer la compatibilit√©"
"M:M:.o.-M:M:.o.-í","anthropological functions","fonctions anthropologiques"
"s.o.-s.o.-í","mind","esprit"
"s.o.-b.o.-í","inspiration","inspiration"
"s.o.-t.o.-í","creation","cr√©ation"
"s.o.-k.o.-í","collective intelligence","intelligence collective"
"s.o.-m.o.-í","humor","humour"
"s.o.-n.o.-í","meditation","m√©ditation"
"s.o.-d.o.-í","humility","humilit√©"
"s.o.-f.o.-í","embodiment","incarnation"
"s.o.-l.o.-í","proportion","proportion"
"b.o.-s.o.-í","interpretation","interpr√©tation"
"b.o.-b.o.-í","negation","n√©gation"
"b.o.-t.o.-í","promise","promesse"
"b.o.-k.o.-í","communication","communication"
"b.o.-m.o.-í","beauty","beaut√©"
"b.o.-n.o.-í","poetry","po√©sie"
"b.o.-d.o.-í","clarity","clart√©"
"b.o.-f.o.-í","courage","courage"
"b.o.-l.o.-í","transmission","transmission"
"t.o.-s.o.-í","forecast","pr√©vision"
"t.o.-b.o.-í","narrative","r√©cit"
"t.o.-t.o.-í","change","changement"
"t.o.-k.o.-í","tradition","tradition"
"t.o.-n.o.-í","calendar","calendrier"
"t.o.-d.o.-í","relevance","pertinence"
"t.o.-f.o.-í","rhythm","rythme"
"t.o.-l.o.-í","harmony","harmonie"
"k.o.-s.o.-í","government","gouvernement"
"k.o.-b.o.-í","conversation","conversation"
"k.o.-t.o.-í","history","histoire"
"k.o.-k.o.-í","peace","paix"
"k.o.-m.o.-í","friendship","amiti√©"
"k.o.-d.o.-í","honesty","honn√™tet√©"
"k.o.-f.o.-í","collaboration","collaboration"
"k.o.-l.o.-í","institution","institution"
"m.o.-s.o.-í","interest","int√©r√™t"
"m.o.-b.o.-í","expression","expression"
"m.o.-t.o.-í","loyalty","loyaut√©"
"m.o.-k.o.-í","compassion","compassion"
"m.o.-m.o.-í","love","amour"
"m.o.-n.o.-í","wisdom","sagesse"
"m.o.-d.o.-í","sincerity","sinc√©rit√©"
"m.o.-f.o.-í","seduction","s√©duction"
"m.o.-l.o.-í","generosity","g√©n√©rosit√©"
"n.o.-s.o.-í","culture","culture"
"n.o.-b.o.-í","style","style"
"n.o.-t.o.-í","progress","progr√®s"
"n.o.-k.o.-í","religion","religion"
"n.o.-m.o.-í","faith","foi"
"n.o.-n.o.-í","human being","√™tre humain"
"n.o.-d.o.-í","evaluation","√©valuation"
"n.o.-f.o.-í","health","sant√©"
"n.o.-l.o.-í","cosmos","cosmos"
"d.o.-s.o.-í","reasoning","raisonnement"
"d.o.-b.o.-í","description","description"
"d.o.-t.o.-í","learning","apprentissage"
"d.o.-k.o.-í","security","s√©curit√©"
"d.o.-m.o.-í","intuition","intuition"
"d.o.-n.o.-í","science","science"
"d.o.-d.o.-í","investigation","investigation"
"d.o.-f.o.-í","experience","exp√©rience"
"d.o.-l.o.-í","order","ordre"
"f.o.-s.o.-í","imaginary","imaginaire"
"f.o.-t.o.-í","growth","croissance"
"f.o.-k.o.-í","rite","rite"
"f.o.-m.o.-í","passion","passion"
"f.o.-n.o.-í","dance","danse"
"f.o.-d.o.-í","attention","attention"
"f.o.-f.o.-í","body","corps"
"f.o.-l.o.-í","organisation","organisation"
"l.o.-s.o.-í","exploration","exploration"
"l.o.-t.o.-í","travel","voyage"
"l.o.-k.o.-í","territory","territoire"
"l.o.-m.o.-í","liberty","libert√©"
"l.o.-n.o.-í","architecture","architecture"
"l.o.-d.o.-í","orientation","orientation"
"l.o.-l.o.-í","complexity","complexit√©"
"M:M:.o.-M:M:.o.-s.u.-í","anthropological qualities","qualit√©s anthropologiques"
"s.o.-s.o.-s.u.-í","intelligent","intelligent"
"s.o.-b.o.-s.u.-í","inspired","inspir√©"
"s.o.-t.o.-s.u.-í","created","cr√©√©"
"s.o.-k.o.-s.u.-í","conscious","conscient"
"s.o.-m.o.-s.u.-í","comical | funny","comique | dr√¥le"
"s.o.-n.o.-s.u.-í","Ôªømeditated","m√©dit√©"
"s.o.-d.o.-s.u.-í","humble","humble"
"s.o.-f.o.-s.u.-í","embodied","incarn√©"
"s.o.-l.o.-s.u.-í","proportioned","proportionn√©"
"b.o.-s.o.-s.u.-í","interpreted","interpr√©t√©"
"b.o.-b.o.-s.u.-í","opposite","contraire"
"b.o.-t.o.-s.u.-í","promised","promis"
"b.o.-k.o.-s.u.-í","communicated","communiqu√©"
"b.o.-m.o.-s.u.-í","beautiful","beau"
"b.o.-n.o.-s.u.-í","poetical","po√©tique"
"b.o.-d.o.-s.u.-í","clear","clair"
"b.o.-f.o.-s.u.-í","courageous","courageux"
"b.o.-l.o.-s.u.-í","transmitted","transmis"
"t.o.-s.o.-s.u.-í","future","futur"
"t.o.-b.o.-s.u.-í","narrated","narr√©"
"t.o.-t.o.-s.u.-í","in transition | temporal","en transition | temporel"
"t.o.-k.o.-s.u.-í","traditional","traditionnel"
"t.o.-m.o.-s.u.-í","hoped for","esp√©r√©"
"t.o.-n.o.-s.u.-í","date","date"
"t.o.-d.o.-s.u.-í","relevant","pertinent"
"t.o.-f.o.-s.u.-í","periodical","p√©riodique"
"t.o.-l.o.-s.u.-í","simultaneous","simultan√©"
"k.o.-s.o.-s.u.-í","governed","gouvern√©"
"k.o.-b.o.-s.u.-í","civil","civil"
"k.o.-t.o.-s.u.-í","past","pass√©"
"k.o.-k.o.-s.u.-í","peaceful","pacifique"
"k.o.-m.o.-s.u.-í","friendly","amical"
"k.o.-n.o.-s.u.-í","just","juste"
"k.o.-d.o.-s.u.-í","honest","honn√™te"
"k.o.-f.o.-s.u.-í","collaborative","collaboratif"
"k.o.-l.o.-s.u.-í","instituted","institu√©"
"m.o.-s.o.-s.u.-í","interesting","int√©ressant"
"m.o.-b.o.-s.u.-í","expressed","exprim√©"
"m.o.-t.o.-s.u.-í","loyal","loyal"
"m.o.-k.o.-s.u.-í","benevolent","bienveillant"
"m.o.-m.o.-s.u.-í","in love","amoureux"
"m.o.-n.o.-s.u.-í","wise","sage"
"m.o.-d.o.-s.u.-í","sincere","sinc√®re"
"m.o.-f.o.-s.u.-í","seductive","s√©duisant"
"m.o.-l.o.-s.u.-í","offered","offert"
"n.o.-s.o.-s.u.-í","cultivated","cultiv√©"
"n.o.-b.o.-s.u.-í","stylish","styl√©"
"n.o.-t.o.-s.u.-í","in progress","en progr√®s"
"n.o.-k.o.-s.u.-í","religious","religieux"
"n.o.-m.o.-s.u.-í","confident","confiant"
"n.o.-n.o.-s.u.-í","human","humain"
"n.o.-d.o.-s.u.-í","evaluated | assessed","√©valu√© | estim√©"
"n.o.-f.o.-s.u.-í","healthy","sain | en sant√©"
"n.o.-l.o.-s.u.-í","cosmic","cosmique"
"d.o.-s.o.-s.u.-í","reasonable","raisonnable"
"d.o.-b.o.-s.u.-í","described","d√©crit"
"d.o.-t.o.-s.u.-í","learned","appris"
"d.o.-k.o.-s.u.-í","sure","s√ªr"
"d.o.-m.o.-s.u.-í","intuitive","intuitif"
"d.o.-n.o.-s.u.-í","known","connu | su"
"d.o.-d.o.-s.u.-í","examined","examin√©"
"d.o.-l.o.-s.u.-í","ordered","ordonn√©"
"f.o.-s.o.-s.u.-í","surreal | mythical","surr√©el | mythique"
"f.o.-b.o.-s.u.-í","played","jou√©"
"f.o.-t.o.-s.u.-í","growing","en croissance"
"f.o.-k.o.-s.u.-í","ritual","rituel"
"f.o.-m.o.-s.u.-í","joyful","joyeux"
"f.o.-n.o.-s.u.-í","step | gait","pas | d√©marche"
"f.o.-d.o.-s.u.-í","focal","focal"
"f.o.-f.o.-s.u.-í","living","vivant"
"f.o.-l.o.-s.u.-í","organised","organis√©"
"l.o.-s.o.-s.u.-í","explored","explor√©"
"l.o.-b.o.-s.u.-í","composed","compos√©"
"l.o.-t.o.-s.u.-í","far","loin"
"l.o.-m.o.-s.u.-í","free","libre"
"l.o.-n.o.-s.u.-í","spatial","spatial"
"l.o.-d.o.-s.u.-í","in lign | directed","orient√©"
"l.o.-f.o.-s.u.-í","resident","r√©sidant"
"l.o.-l.o.-s.u.-í","complex","complexe"
"s.e.-s.u.-wa.e.-í","drawing | painting","savoir-faire en dessin | peinture"
"b.e.-s.u.-wa.e.-í","visual refinement","raffinement visuel"
"t.e.-s.u.-wa.e.-í","image creation | graphic design","cr√©ation díimage | design graphique"
"k.e.-s.a.-wa.e.-í","understanding oneself","compr√©hension de soi-m√™me"
"m.e.-s.a.-wa.e.-í","understanding others","compr√©hension díautrui"
"n.e.-s.a.-wa.e.-í","giving meaning to a group","indication du sens √† un groupe"
"d.e.-s.i.-wa.e.-í","pratical ingenuity","inventivit√© pratique"
"f.e.-s.i.-wa.e.-í","body-mind disciplines","disciplines corps-esprit"
"l.e.-s.i.-wa.e.-í","interconnecting systems","interconnection de syst√®mes"
"s.e.-b.u.-wa.e.-í","mastering a second language","ma√Ætrise díune deuxi√®me langue"
"b.e.-b.u.-wa.e.-í","interpreter | touristic guide","interpr√©tariat | guide touristique"
"t.e.-b.u.-wa.e.-í","eloquence","√©loquence"
"k.e.-b.a.-wa.e.-í","speaking sincerely","parole sinc√®re"
"m.e.-b.a.-wa.e.-í","speaking wisely","paroles sages"
"n.e.-b.a.-wa.e.-í","representing a group","repr√©sentation díun groupe"
"d.e.-b.i.-wa.e.-í","mastery of communication techniques","ma√Ætrise des techniques de communication"
"f.e.-b.i.-wa.e.-í","dancing","danse"
"l.e.-b.i.-wa.e.-í","computer engineering","ing√©nierie informatique"
"s.e.-t.u.-wa.e.-í","counting | calculating","savoir compter / calculer"
"b.e.-t.u.-wa.e.-í","logic | programming","comp√©tence en logique / programmation"
"t.e.-t.u.-wa.e.-í","software design","conception de logiciels"
"k.e.-t.a.-wa.e.-í","memory training","entra√Ænement de la m√©moire"
"m.e.-t.a.-wa.e.-í","fidelity","fid√©lit√©"
"n.e.-t.a.-wa.e.-í","establishing a tradition","√©tablissement díune tradition"
"d.e.-t.i.-wa.e.-í","maintenance","maintenance"
"f.e.-t.i.-wa.e.-í","driving","conduite de v√©hicule"
"l.e.-t.i.-wa.e.-í","vehicle design","conception de v√©hicules"
"s.e.-k.u.-wa.e.-í","reading | writing","savoir lire / √©crire"
"b.e.-k.u.-wa.e.-í","personal interpretation ability","capacit√© díinterpr√©tation personnelle"
"t.e.-k.u.-wa.e.-í","symbol creation","cr√©ation de symboles"
"k.e.-k.a.-wa.e.-í","following a discipline","adh√©sion √† une discipline"
"m.e.-k.a.-wa.e.-í","collaborative attitude","attitude collaborative"
"n.e.-k.a.-wa.e.-í","leading by example","donner líexemple"
"d.e.-k.i.-wa.e.-í","commercial know-how","savoir-faire commercial"
"f.e.-k.i.-wa.e.-í","team sports","sports dí√©quipe"
"l.e.-k.i.-wa.e.-í","elaborating commercial strategies","√©laboration de strat√©gies commerciales"
"b.e.-m.u.-wa.e.-í","performing arts culture","culture des arts de la sc√®ne"
"t.e.-m.u.-wa.e.-í","staging | artistic direction","mise en sc√®ne | direction artistique"
"k.e.-m.a.-wa.e.-í","friendship with oneself","amiti√© avec soi-m√™me"
"m.e.-m.a.-wa.e.-í","solicitude","sollicitude"
"n.e.-m.a.-wa.e.-í","inspiring harmony","inspirer líharmonie"
"d.e.-m.i.-wa.e.-í","esthetics | fashion","esth√©tique | mode"
"f.e.-m.i.-wa.e.-í","subtlety of the senses","subtilit√© des sens"
"l.e.-m.i.-wa.e.-í","artistic competence","comp√©tence artistique"
"s.e.-n.u.-wa.e.-í","vocabulary","avoir du vocabulaire"
"b.e.-n.u.-wa.e.-í","literary erudition","√©rudition litt√©raire"
"t.e.-n.u.-wa.e.-í","literary writing","√©criture litt√©raire"
"k.e.-n.a.-wa.e.-í","self-evaluation","auto-√©valuation"
"m.e.-n.a.-wa.e.-í","moral judgement","jugement moral"
"n.e.-n.a.-wa.e.-í","forging values","poser des valeurs"
"d.e.-n.i.-wa.e.-í","mastery of production","ma√Ætrise de la production"
"f.e.-n.i.-wa.e.-í","extreme sports","sports extr√™mes"
"l.e.-n.i.-wa.e.-í","tool design / design","conception díoutils / de machines"
"s.e.-d.u.-wa.e.-í","information search","recherche díinformation"
"b.e.-d.u.-wa.e.-í","documentation","documentation"
"t.e.-d.u.-wa.e.-í","information architecture","architecture díinformation"
"k.e.-d.a.-wa.e.-í","acknowledging the facts","reconnaissance des faits"
"m.e.-d.a.-wa.e.-í","truth seeking","recherche de la v√©rit√©"
"n.e.-d.a.-wa.e.-í","releasing the truth","publication de la v√©rit√©"
"d.e.-d.i.-wa.e.-í","control | measure","contr√¥le | mesure"
"f.e.-d.i.-wa.e.-í","shooting sports (aiming)","sports de tir (de vis√©e)"
"l.e.-d.i.-wa.e.-í","metrology","m√©trologie"
"s.e.-f.u.-wa.e.-í","playing music | singing","interpr√©tation musicale | chant"
"b.e.-f.u.-wa.e.-í","musical culture","culture musicale"
"t.e.-f.u.-wa.e.-í","composing music","composition musicale"
"k.e.-f.a.-wa.e.-í","taking care of oneself","prendre soin de soi-m√™me"
"n.e.-f.a.-wa.e.-í","healing","amener la gu√©rison"
"d.e.-f.i.-wa.e.-í","surgery | body care","chirurgie | soins du corps"
"f.e.-f.i.-wa.e.-í","athletics","athl√©tisme"
"l.e.-f.i.-wa.e.-í","biotechnology","biotechnologie"
"s.e.-l.u.-wa.e.-í","reading natural signs","savoir lire les signes naturels"
"b.e.-l.u.-wa.e.-í","scientific culture","culture scientifique"
"t.e.-l.u.-wa.e.-í","scientific research","recherche scientifique"
"k.e.-l.a.-wa.e.-í","self-protection","auto-protection"
"m.e.-l.a.-wa.e.-í","abiding by law","respect de la loi"
"n.e.-l.a.-wa.e.-í","protecting a group","protection díun groupe"
"d.e.-l.i.-wa.e.-í","mastery of construction","ma√Ætrise de la construction"
"f.e.-l.i.-wa.e.-í","martial arts","arts martiaux"
"l.e.-l.i.-wa.e.-í","architecture","architecture"
"s.e.-s.u.-í","drawing | painting","dessin | peinture"
"b.e.-s.u.-í","visual culture","culture visuelle"
"t.e.-s.u.-í","original design","design original"
"k.e.-s.a.-í","psychic autonomy","autonomie psychique"
"m.e.-s.a.-í","teachings from others","enseignements díautrui"
"n.e.-s.a.-í","collective approach","d√©marche collective"
"d.e.-s.i.-í","practical solution","solution pratique"
"f.e.-s.i.-í","body-mind synchrony","synchronie corps-esprit"
"l.e.-s.i.-í","compatibility","compatibilit√©"
"s.e.-b.u.-í","cultural openness","ouverture culturelle"
"b.e.-b.u.-í","cultural exchange","√©change culturel"
"t.e.-b.u.-í","won-over public","public conquis"
"k.e.-b.a.-í","credibility","cr√©dibilit√©"
"m.e.-b.a.-í","dialogue","dialogue"
"n.e.-b.a.-í","community image","image de la communaut√©"
"d.e.-b.i.-í","augmented communication","communication augment√©e"
"f.e.-b.i.-í","grace","gr√¢ce"
"l.e.-b.i.-í","virtual world","monde virtuel"
"s.e.-t.u.-í","arithmetic operation","op√©ration arithm√©tique"
"b.e.-t.u.-í","logical consistency","coh√©rence logique"
"t.e.-t.u.-í","augmented cognition","cognition augment√©e"
"k.e.-t.a.-í","personal memory","m√©moire personnelle"
"m.e.-t.a.-í","strength of personal ties","force des liens personnels"
"n.e.-t.a.-í","civilization","civilisation"
"d.e.-t.i.-í","well-maintained material","mat√©riel bien entretenu"
"f.e.-t.i.-í","safe driving","conduite s√ªre"
"l.e.-t.i.-í","transport system","syst√®me de transport"
"s.e.-k.u.-í","reading | writing","lecture | √©criture"
"b.e.-k.u.-í","intellectual appropriation","appropriation intellectuelle"
"t.e.-k.u.-í","original symbol","symbole original"
"k.e.-k.a.-í","performance","performance"
"m.e.-k.a.-í","collective competence","comp√©tence collective"
"n.e.-k.a.-í","transparency of actions","transparence des actes"
"d.e.-k.i.-í","commercial transaction","transaction commerciale"
"f.e.-k.i.-í","team spirit","esprit dí√©quipe"
"l.e.-k.i.-í","prosperity","prosp√©rit√©"
"s.e.-m.u.-í","actorís play","jeu díacteur"
"b.e.-m.u.-í","cultural scene","sc√®ne culturelle"
"t.e.-m.u.-í","dramatic representation","repr√©sentation dramatique"
"k.e.-m.a.-í","affective autonomy","autonomie affective"
"m.e.-m.a.-í","reciprocity","r√©ciprocit√©"
"n.e.-m.a.-í","mutual understanding | harmony","compr√©hension mutuelle | entente"
"d.e.-m.i.-í","body code | dress code","code physique | code vestimentaire"
"f.e.-m.i.-í","taste","go√ªt"
"l.e.-m.i.-í","poetic world","univers po√©tique"
"s.e.-n.u.-í","semantic distinction","distinction s√©mantique"
"b.e.-n.u.-í","literary life","vie litt√©raire"
"t.e.-n.u.-í","literary text","texte litt√©raire"
"k.e.-n.a.-í","ethics","√©thique"
"m.e.-n.a.-í","chosen person","personne choisie"
"n.e.-n.a.-í","moral refinement","raffinement moral"
"d.e.-n.i.-í","industry","industrie"
"f.e.-n.i.-í","survival","survie"
"l.e.-n.i.-í","tool | machine","outil | machine"
"s.e.-d.u.-í","obtained information","information obtenue"
"b.e.-d.u.-í","research object","objet de recherche"
"t.e.-d.u.-í","informational problem","probl√©matique informationnelle"
"k.e.-d.a.-í","facts from observation","faits díobservation"
"m.e.-d.a.-í","method of investigation","m√©thode díinvestigation"
"n.e.-d.a.-í","informing the public","information du public"
"d.e.-d.i.-í","measurement","mesure"
"f.e.-d.i.-í","precise gesture","geste pr√©cis"
"l.e.-d.i.-í","coordinate system","syst√®me de coordonn√©es"
"s.e.-f.u.-í","musical performance","performance musicale"
"b.e.-f.u.-í","music scene","sc√®ne musicale"
"t.e.-f.u.-í","original music","musique originale"
"k.e.-f.a.-í","physical autonomy","autonomie physique"
"m.e.-f.a.-í","well-being","bien-√™tre"
"n.e.-f.a.-í","recovery","gu√©rison"
"d.e.-f.i.-í","operation on the body","op√©ration sur le corps"
"f.e.-f.i.-í","physical performance","performance physique"
