t.e.-m.u.-' , représentation dramatique , dramatic representation
o.O:M:.-we.h.-' , perfectionner l'intelligence collective par l'orientation , to improve collective intelligence by orientation
d.e.-f.i.-' , opération sur le corps , operation on the body
E:M:.h.- , cause fonctionnelle virtuelle , virtual functional cause
k.o.-k.o.-s.u.-' , pacifique , peaceful
f.o.-s.o.-' , imaginaire , imaginary
O:M:.d.- , négliger l'exactitude , to neglect exactitude
O:O:.x.- , gouverner le système technique , to govern the technical system
a.y.-we.h.-' , investir dans la recherche , to invest in research
s.o.-t.o.-s.u.-' , créé , created
d.a.-b.a.-f.o.-' , producteur , producer
l.e.-n.i.-' , outil | machine , tool | machine
b.-T:.A:.-' , noir , black
wa.B:.- , afficher le goût & l'odeur | diffuser le goût & l'odeur , to display smell & taste | to broadcast smell & taste
y.M:M:.- , obscurcir l'intelligence , to obscure intelligence
m.e.-l.a.-' , force de la loi , power of the law
u.p.- , expliquer son sujet , to explain one's subject
y.S:.- , trier | différentier , to sort | to differentiate
i.s.- , bloquer les interfaces , to block interfaces
f.o.-c.c.-s.y.-' , études des femmes & de genre , women's & gender studies
m.o.-t.o.-' , loyauté , loyalty
E:A:.x.- , avec , with
E:A:.O:O:.- , possessif , possessive
k.-S:.A:.-' , lumineux , luminous
y.y.- , maîtriser un domaine de connaissance , to master a knowledge field
A:M:.F:.- , bouger subjectivement , to move subjectively
m.i.-l.i.-' , textile | vêtement , textile | clothing
a.a.- , contracter , to contract
h.u.- , clarification du sens du message , clarifying the meaning of the message
o.i.-we.h.-' , orienter la production , to orient production
E:F:.wu.- , genre masculin , masculine gender
o.M:M:.- , assombrir l'existence humaine , to dim human existence
f.y.- , intelligence du corps , body intelligence
m.i.-m.i.-t.u.-' , fétichisé , fetishized
f.-B:.U:.-' , acide , sour | acidic
b.o.-p.p.-s.y.-' , pragmatique | rhétorique , pragmatics | rhetoric
M:M:.o.- , valeur , value
b.u.-b.u.-' , hypertexte , hypertext
O:O:.U:.- , contrôler l'expérience auditive , to control auditory experience
O:M:.u.- , performer dans l'expression , to perform in expression
k.a.-m.a.-f.o.-' , frère | soeur , brother | sister
f.wo.- , exercice intellectuel , intellectual gymnastics
s.o.-n.o.-' , méditation , meditation
n.a.-k.a.-' , réforme , reform
wu.F:.- , sentir les formes | reconnaître les formes , to feel shapes | to recognize shapes
t.u.-l.u.-d.u.-' , photographié , photographed
b.p.- , conversations des consommateurs sur le produit , consumers conversations about the product
n.i.-b.i.-' , éclairage , lighting
m.u.-n.u.-' , sujet , subject
E:+U:+M: , réseaux virtuels fictifs , fictitious virtual networks
n.e.-b.a.-' , image de la communauté , community image
f.i.-k.i.-' , nourriture | boisson , food | drink
k.o.-o.o.-s.y.-' , sciences politiques , political sciences
M:O:.U:M:.- , condition de l'activité virtuelle , condition of virtual activity
E:A:.g.- , même | comme , same | like | as
c.M:O:.- , transformation sur base sociale , transformation on social basis
f.o.-y.y.-s.y.-' , esthétique , esthetics
e.we.- , contrôler la reproduction , to control birth
d.i.-d.i.-t.u.-' , quantifié , quantified
M:O:.a.- , condition de l'intégration sociale , condition of social integration
O:O:.g.- , gouverner la communication , to govern the communication
b.e.-d.u.-wa.e.-' , compétence en documentation , competence in documentation
d.o.-u.u.-' , dossier , file
m.a.-d.a.-' , partenariat , partnership
we.o.- , renouveler les objectifs , to renew objectives
h.wa.- , retournement de situation , situation reversal
n.i.-k.i.-t.u.-' , à  vendre , for sale
s.u.-n.u.-d.u.-' , conceptuel , conceptual
E:U:U:. , interrogation? , interrogation?
wa.f.- , cultiver son énergie physique , to cultivate one's physical energy
wa.b.- , s'exprimer par les actes , to express oneself through acts
i.e.- , prendre , to take
m.e.-t.a.-' , force des liens personnels , strength of personal ties
l.i.-t.i.-' , fermeture | sac , closure | bag
k.o.-g.g.-' , discours public , public discourse
t.i.-s.i.-t.u.-' , en transit , in transit
t.a.-l.a.-f.o.-' , archiviste , archivist
n.o.-a.a.-s.y.-' , biographies / journaux , biographies / diaries
b.o.-t.o.-' , promesse , promise
E:S:.O:M:.- , temps futur , future tense
s.o.- , souci de la pensée , concern for thought
A: , actuel , actual
b.o.-g.g.-s.y.-' , études du symbolisme , symbolic studies
f.u.-m.u.-d.u.-' , sentimental , sentimental
g.i.- , perfectionnement de la mobilité tactique , tactical mobility improvement
k.u.-l.u.-' , relique | dépouille , relic | mortal remains
E:S:.x.- , partie , part
k.a.- , chef , chief
E:A:.f.- , derrière , behind
s.o.-e.e.-s.y.-' , ergonomie , ergonomy
we.U:.- , faire silence | isoler du son , to make silence | to insulate from sound
E:O:.j.- , mode de ressemblance virtuel , manner of resemblance virtual
b.a.-b.a.-' , littérature , literature
i.A:.- , lancer , to throw
E:A:S:. , peu , a few | slightly
h.g.- , nouvelle forme de communication , new communication form
wa.s.- , se soucier de l'action , to have concern for action
j.c.- , transformation de l'apprentissage , learning transformation
t.o.-n.o.-' , calendrier , calendar
l.a.-k.a.-f.o.-' , officier , officer
E:U:.p.- , indéfini | un | quelque , indefinite | a | some
n.u.-n.u.-d.u.-' , inconnu , unknown
p.u.- , prise en considération du contexte , taking into account of the context
B: , être , being
f.o.-p.p.-' , santé publique , public health
s.i.-f.i.-' , système nerveux | système immunitaire , nervous system | immune system
M:M:.o.-a.a.-s.y.-' , sciences des personnes en société , sciences of people in society
wu.e.- , évaluer les compétences , to assess competences
j.t.- , archaïsme, archaism
a.U:.- , digérer | assimiler , to digest | to assimilate
e.m.- , menacer , to threaten
d.e.-f.i.-wa.e.-' , compétence en chirurgie | compétence en soins du corps , competence in surgery | competence in body care
k.a.-t.a.-f.o.-' , secrétaire , secretary
t.i.-d.i.-' , horloge , clock
E:T:.e.- , pouvait , could
k.e.-b.a.-wa.e.-' , compétence en parole sincère , competence in speaking sincerely
d.e.-t.i.-wa.e.-' , compétence en maintenance , competence in maintenance
wo.d.- , méditer sur les vérités alternatives , to meditate on alternative truths
E:O:U:. , peut logique , logical may
m.o.-t.o.-s.u.-' , loyal , loyal
m.o.-h.h.-s.y.-' , hagiographie , hagiography
l.o.-o.o.-s.y.-' , organigrammes / annuaires , organization charts / directories
s.u.-m.u.-d.u.-' , onirique , dream-like
k.o.-x.x.-' , échanges internationaux , international trade
b.e.-d.u.-' , objet de recherche , research object
n.y.- , connaissance des principes , knowledge of principles
b.u.-t.u.-d.u.-' , programmé , programmed
wa.O:M:.- , maîtriser son activité , to master one's activity
l.i.-m.i.-' , meuble , furniture
h.x.- , nouvelle candidature , new application | new candidacy
s.o.-b.o.-s.u.-' , inspiré , inspired
c.wu.- , transformation corporelle , bodily transformation
m.i.-k.i.-' , pièce d'un jeu , piece of a game
o.e.-we.h.-' , éduquer , to educate
f.o.-e.e.-s.y.-' , éducation physique , physical education
l.o.-j.j.-' , planète Terre , planet Earth
wa.wo.- , s'éveiller , to wake up
k.o.-i.i.-s.y.-' , recherche et développement , research and development
wa.T:.- , afficher le mouvement | conduire | danser , to display movement | to drive | to dance
d.o.- , valeur de vérité , truth value
u.u.-we.h.-' , mettre en cohérence , to bring consistency
O:O:.a.- , travailler l'engagement , to work on commitment
E:U:.M:O:.- , manière négative , negative manner
M:M:.-S:.A:.-' , sud abstrait , abstract south
a.h.- , défendre une interprétation , to defend an interpretation
b.i.-t.i.-t.u.-' , support d'information , information medium
t.u.-k.u.-d.u.-' , scriptural , scriptural
f.-S:.A:.-' , sucré , sweet
E:A:B:. , quantité moyenne | égalité , medium quantity | equality
f.a.-n.a.-f.o.-' , travailleur social , social worker
d.u.-s.u.-' , carte , map
E:B:.d.- , dans l'espace fermé , in closed space
u.we.- , s'entraider | aider sa famille , to give support | to help family
y.t.- , oublier , to forget
b.o.-a.a.-' , manière de penser , way of thinking
s.a.-n.a.-f.o.-' , précurseur , precursor
n.h.- , acculturation , acculturation
d.wo.- , contrainte intellectuelle , intellectual constraint
b.a.-m.a.-f.o.-' , amant , lover
d.-B:.A:.-' , lisse , smooth
a.u.- , tenir sa promesse , to keep one's word
t.o.-x.x.-s.y.-' , archéologie | histoire matérielle , archeology | artefact studies
E:S:M:. , distribution dans le temps , time distribution
c.d.- , hypocrisie | tromperie , hypocrisy | deception
k.u.-l.u.-d.u.-' , tombeau | mausolée , tomb | mausoleum
o.f.- , faire souffrir , to inflict suffering
E: , vide | silence | illusion | fiction , emptiness | silence | illusion | fiction
T:M:. , base dans la chose , basis in thing
g.O:M:.- , processus expressif actualisant actuel , actualizing expressive process actual
k.u.-s.u.-d.u.-' , symétrique , symmetrical
l.e.-k.i.-wa.e.-' , compétence en élaboration de stratégies commerciales , competence in elaborating commercial strategies
m.a.-b.a.-f.o.-' , joueur , player
b.e.-k.u.-' , appropriation intellectuelle , intellectual appropriation
M:O:.l.- , obstacle dans l'espace , obstacle in space
S:O:. , signe en mutation , sign in mutation
k.i.-l.i.-t.u.-' , bâti , built
F: , plénitude | non-fiction , fullness | non-fiction
O:O:.O:M:.- , travailler , to work
g.we.- , variation du contexte , context variation
d.i.-b.i.-t.u.-' , numérique , digital
l.a.-s.a.-' , management | gestion , management
m.j.- , expression | réveil poétique des émotions , expression | poetic awakening of emotion
d.i.-m.i.-' , prix | médaille , award | medal
k.-M:.O:.-' , polarité sensible , sensible polarity
O:M:.i.- , performer dans le concret , to perform in concrete things
wo.wo.- , être initié , to be initiated
E:O:.T:O:.- , mode d'existence , manner of existence
p.M:M:.- , obstacle économique , economic obstacle
f.e.-k.i.-wa.e.-' , compétence en sports d'équipe , competence in team sports
E:S:.wa.- , nous , us
E:B:.u.- , exprime maintenant , express now
y.c.- , examiner ses obstacles , to examine one's obstacles
n.u.-f.u.-' , couleur , color
M:M:.-B:.U:.-' , est abstrait , abstract east
E:S:.k.- , canal , channel
M:M:.c.- , cycle de création-innovation politique , political creation-innovation cycle
m.i.-d.i.-' , cible , target
x.e.- , exercice du pouvoir , exercise of power
E:O:.M:O:.- , comment | manière flexion | adverbe | conjonction | préposition | article , how | manner inflection | adverb | conjunction | preposition | article
j.O:M:.- , processus linguistique actualisant virtuel , actualizing linguistic process virtual
t.u.-d.u.-d.u.-' , indexé , indexed
wo.T:.- , contrôler l'orientation dans l'espace | contrôler la position dans l'espace , to control orientation in space | to control position in space
p.d.- , absence de formation et d'information économique , lack of economic information and training
t.i.-d.i.-t.u.-' , chronométré , measured time
n.-B:.U:.-' , bois , wood
n.o.-p.p.-' , communauté internationale , international community
d.o.-m.o.-s.u.-' , intuitif , intuitive
k.o.-b.o.-' , conversation , conversation
d.i.-f.i.-' , organe sensoriel , sensory organ
l.a.-l.a.-' , guerre , war
f.i.-b.i.-' , drogue | médicament , drug | medicine
E:F:.a.- , mode promissif , promisive mood
s.o.-j.j.-' , concept philosophique , philosophical concept
t.i.-k.i.-' , capital , capital
s.i.-f.i.-t.u.-' , reconnu , recognized
M:O:.wo.- , mutation de l'univers des possibles , mutation of the universe of possibilities
k.-B:.A:.-' , grave , low-pitched
u.k.- , parler jargon , to use jargon
T:M:.O:M:.- , base de chose pour le développement humain , basis of thing for human development
n.we.- , racines culturelles , cultural roots
t.e.-t.u.-wa.e.-' , compétence en conception de logiciels , competence in software design
we.k.- , constituer des liens sociaux , to set up social bonds
b.e.-t.u.-wa.e.-' , compétence en logique | compétence en programmation , competence in logic | competence in programming
n.e.-k.a.-' , transparence des actes , transparency of actions
E:A:.s.- , en avant | vers l'avant , ahead | towards the front
n.-S:.A:.-' , feu , fire
s.u.-l.u.-' , ombre , shadow
s.e.-n.u.-' , distinction sémantique , semantic distinction
n.e.-f.a.-wa.e.-' , compétence en guérison , competence in healing
j.g.- , nouvelle question , new question
I: , information en général , information in general
d.o.-g.g.-' , fonction cognitive , cognitive function
f.u.-t.u.-d.u.-' , partition , musical score
n.i.-n.i.-t.u.-' , source d'énergie , energy source
m.o.-l.o.-s.u.-' , offert , offered
t.i.- , contenant , container
b.e.-t.u.-' , cohérence logique , logical consistency
d.u.-l.u.-' , indice , clue
p.wa.- , changement d'objectif , change of objective
k.e.- , maîtrise de soi grammaire , self-control grammar
wo.O:O:.- , traverser le cycle symbolique , to go through the symbolic cycle
d.e.-l.i.-' , bâtiment public | travaux publics , public building | public works
E:A:O:. , mode constructif , constructive mode
g.m.- , médisance | mépris , malicious gossip | contempt
E:S:.t.- , point de départ , departure point
E:M:.n.- , intermédiaire dans l'espace relatif , relative space intermediary
wo.M:O:.- , remettre en jeu les cadres de l'activité , to monitor alternative frameworks
t.e.-n.u.-' , texte littéraire , literary text
O:O:.n.- , fournir des ressources à  l'action par la résonance avec le cosmos , to provide resources for action by tuning to the cosmos
o.y.-we.h.-' , orienter la recherche , to orient research
n.o.-p.p.-s.y.-' , études de la gouvernance internationale , international governance studies
b.u.-l.u.-d.u.-' , cité , cited
E:A:.b.- , devant | en face de , in front of
m.e.-t.a.-wa.e.-' , compétence en fidélité , competence in fidelity
E:O:.n.- , milieu en relation au tout | centre en relation au tout | pendant temps spatialisé , middle relative to whole | center relative to whole | during spatialized time
n.o.-l.o.-' , cosmos , cosmos
t.a.-d.a.-f.o.-' , investisseur , investor
wa.o.- , s'en tenir aux principes , to stick to principles
h.k.- , trahison de l'esprit | trahison de la tradition , betrayal of the spirit | betrayal of tradition
wu.M:O:.- , évaluer les cadres de l'activité , to assess frameworks
m.e.-f.a.-' , bien-être , well-being
we.M:O:.- , unifier les cadres de l'activité , to unify frameworks
E:U:.l.- , en bas | au pied de | à  la base , at the bottom | at the foot
k.o.-x.x.-s.y.-' , études du commerce international , international commerce studies
d.a.-l.a.-' , renseignement , intelligence | gathering data
o.U:.- , recevoir , to receive
d.o.-j.j.-' , raisonnement valide , valid reasoning
m.o.-n.o.-' , sagesse , wisdom
n.u.-t.u.-' , logo , logo
i.i.- , fabriquer , to manufacture
O:B:. , agir selon le signe , to act according to being
m.-B:.U:.-' , désir , desire
o.s.- , avoir des préjugés , to have prejudices
a.o.-we.h.-' , déléguer la gouvernance , to delegate governance
wu.U:.- , entendre | reconnaître des formes acoustiques , to hear | to recognize auditive forms
l.a.-d.a.-f.o.-' , entrepreneur , entrepreneur
wu.i.- , tester l'équipement , to test equipment
E:B:M:. , distribution de fréquence , frequency distribution
f.a.-f.a.-f.o.-' , cultivateur | éleveur , farmer
n.u.- , nom , name
l.a.-s.a.-f.o.-' , manager , manager
t.u.-s.u.-d.u.-' , imprimé | gravé , printed | engraved
wo.h.- , remettre en jeu le sens de l'activité , to question the meaning of the activity
o.O:O:.- , utiliser le droit , to use law
d.a.-n.a.-' , témoignage , testimony
n.u.-f.u.-d.u.-' , visuel , visual
E:T:.a.- , s'est engagé , has committed
n.e.-m.a.-wa.e.-' , compétence en inspiration de l'harmonie , competence in inspiring harmony
f.o.- , corps vivant | être sensible , living body | sentient being
m.o.-l.o.-' , générosité , generosity
E:A:.M:M:.- , axe horizontal , horizontal axis
l.o.-n.o.-' , architecture , architecture
j.x.- , évolution du formalisme , formalism evolution
d.o.-u.u.-s.y.-' , sciences de la doc , information sciences
c.u.- , établissement de relations entre interlocuteurs , establishment of relations between interlocutors
n.u.-m.u.-' , imitation , imitation
l.i.-d.i.-' , boussole , compass
d.i.-t.i.-' , compteur | jauge , meter | gauge
b.j.- , innovation sémiotique , semiotic innovation
d.o.-f.o.-s.u.-' , empirique , empirical
t.e.-m.u.-wa.e.-' , compétence en mise en scène | compétence en direction artistique , competence in staging | competence in artistic direction
d.o.-b.o.-' , description , description
i.S:.- , soulever , to lift
b.e.-m.u.-wa.e.-' , compétence en la culture des arts de la scène , competence in the performing arts culture
k.i.-t.i.-t.u.-' , entreposé , stored
a.l.- , transgresser , to transgress
u.M:O:.- , communiquer sa production , communicate one's production
k.i.-f.i.-' , bouche | système digestif , mouth | digestive system
l.y.- , conscience des limites , awareness of limits
E:F:.wo.- , nombre singulier , singular number
b.o.-h.h.-' , enseignement spirituel , spiritual teaching
f.o.-p.p.-s.y.-' , sciences de la santé , health sciences
i.wa.- , équiper une entreprise | équiper l'activité économique , to equip a company | to equip economic activity
E:T:.n.- , inter | entre , inter | between
E:B:.h.- , opération , operation
u.wa.- , exposer les produits de l'activité économique , to exhibit products of economic activity
y.p.- , examiner les sujets possibles , to examine possible subjects
a.y.- , enseigner , to teach
E:M:.O:M:.- , temps | quand , tense | time | when
n.o.-s.o.-' , culture , culture
M:M:.u.-M:M:.u.-d.u.-' , qualités sémiotiques , semiotic qualities
M: , représentation | nominalité grammaticale | ternarité , representation | grammatical nounishness | ternarity
k.M:O:.- , dimension sociale d'un cycle de création-innovation , social dimension of a creation-innovation cycle
o.b.- , mal comprendre , to misunderstand
k.u.-t.u.-d.u.-' , prémonitoire , premonitory
c.h.- , changement de personnel , change of staff
b.e.-f.u.-wa.e.-' , compétence en culture musicale , competence in musical culture
s.u.-s.u.-' , idée , idea
M:M:.a.-M:M:.a.-f.o.-' , acteurs sociaux , social actors layer 3
O:M:.u.-we.h.-' , perfectionner l'intelligence collective en augmentant la communication , to improve collective intelligence by augmenting communication
wo.u.- , suivre les fils de communication , to follow communication threads
we.x.- , unifier le système technique , to unify the technical system
E:O:.S:M:.- , face | haut | avant , face | top | before
n.o.-k.o.-s.u.-' , religieux , religious
l.o.-n.o.-s.u.-' , spatial , spatial
s.-M:.O:.-' , polarité naturelle , natural polarity
f.i.-f.i.-t.u.-' , organique , organic
O:M:.wu.- , gagner en puissance citoyenne , to gain in citizen empowerment
b.i.-l.i.-t.u.-' , relié , linked
M:O:.h.- , transformation dans la volonté , transformation in will
l.h.- , migration | mixage culturel , migration | cultural mixing
i.i.-we.h.-' , assurer la compatibilité , to guarantee compatibility
i.o.-we.h.-' , créer des opportunités , to create opportunities
f.e.-d.i.-wa.e.-' , compétence en sports de tir de visée , competence in shooting sports aiming
g.wa.- , rétroaction , feedback
M:M:.x.- , cycle de création-innovation technique , technical creation-innovation cycle
t.o.-c.c.-' , mémoire collective , collective memory
O:M:.a.-we.h.-' , perfectionner l'intelligence collective en améliorant le lien social , to improve collective intelligence by augmenting the social bond
l.e.-d.i.-wa.e.-' , compétence en métrologie , competence in metrology
u.x.- , expliquer son travail , to explain one's work
e.d.- , être techniquement incompétent , to be technically incompetent
O:O:.we.- , décliner , wane
M:M:.g.- , cycle de création-innovation en communication , communication creation-innovation cycle
u.O:O:.- , exposer , to exhibit
M:O:.M:O:.- , transformation , transformation
f.o.-b.o.-s.u.-' , joué , played
O:M:.m.- , mépriser les émotions , to despise emotions
a.u.-we.h.-' , ouvrir l'espace public , to open public space
E:U:.y.- , connu , known
E:T:.wu.- , il | lui | eux masculin , he | him | them masculine
O: , processus | verbalité grammaticale | bi-polarité , process | grammatical verbishness | bi-polarity
E:S:.we.- , je féminin | moi féminin | nous féminin , I feminine | me feminine | us feminine
s.o.-c.c.-' , espèce humaine , human species
m.o.-m.o.-s.u.-' , amoureux , in love
t.e.-f.u.-wa.e.-' , compétence en composition de musique , competence in composing music
E:B:.y.- , connaît maintenant , know now
d.e.-s.i.-' , solution pratique , practical solution
b.u.-m.u.-d.u.-' , chant , song
M:O:.y.- , condition du savoir , condition of knowledge
l.i.-f.i.-' , muscle | os , muscle | os
x.a.- , coexistence | fréquentation d'autrui , coexistence | doing things with others
d.-T:.U:.-' , craquant , crisp
s.u.-t.u.-d.u.-' , schématisé , schematised
E:A:.o.- , voulant , willing
m.o.-s.o.-' , intérêt , interest
e.O:O:.- , contrôler , to control
E:T:O:. , conclusion alors | donc , conclusion then | therefore
f.u.-f.u.-d.u.-' , illusoire , illusory
u.g.- , prononcer un discours , to deliver a speech
s.a.-f.a.-f.o.-' , psychologue , psychologist
d.a.-s.a.-' , études , studies
b.wa.- , négociation | coordination , negotiation | coordination
we.g.- , unifier la communication , to unify communication
E:U:M:. , variation qualitative , quality variation
d.e.-m.i.-wa.e.-' , compétence en esthétique | compétence en mode , competence in esthetics | competence in fashion
s.i.-t.i.-t.u.-' , filtré , filtered
b.i.-m.i.-t.u.-' , brillant , bright
n.wa.- , sagesse pratique | prudence , practical wisdom | prudence
m.e.-m.a.-' , réciprocité , reciprocity
l.i.-b.i.-t.u.-' , simulé , simulated
f.o.-n.o.-' , danse , dance
k.a.-l.a.-' , syndicat , trade union
t.u.- , marque , mark
l.u.-k.u.-d.u.-' , miraculeux , miraculous
m.o.-y.y.-s.y.-' , critique de l'art | critique des sciences , art critic | science critic
m.o.-s.o.-s.u.-' , intéressant , interesting
wu.n.- , cultiver la clarté du sens , to cultivate clarity of meaning
b.a.-d.a.-' , publicité , advertisement
E:F:.i.- , mode impératif , imperative mood
g.a.- , participation à  la conversation du groupe , participation to the community's conversation
E:S:.p.- , tout , whole
m.i.-t.i.-' , dispositif de sécurité , security device
b.i.-l.i.-' , canal | voie , channel | way
e.wu.- , surveiller | organiser la transparence , to keep watch | to organize transparency
E:A:.n.- , pendant , during
E:O:.b.- , haut en relation à  une partie | devant en relation à  une partie , top relative to a part | front relative to a part
k.o.-d.o.-' , honnêteté , honesty
l.e.-s.i.-' , compatibilité , compatibility
O:O:.j.- , gouverner le système symbolique , to govern the symbolic system
u.b.- , soliloquer , to soliloquize
k.o.-j.j.-' , écosystème cognitif , cognitive ecosystem
l.i.-k.i.-' , terrain | champ , terrain | field
wa.k.- , agir pour la société | agir pour la communauté , to act for the sake of society | to act for the sake of community
n.a.-f.a.-' , maladie , illness
d.x.- , procédures techniques rigoureuses | procédés techniques rigoureux , rigorous technical procedures | rigorous technical processes
t.a.-k.a.-f.o.-' , fonctionnaire , public servant
s.e.-b.u.-' , ouverture culturelle , cultural openness
E:U:.h.- , en évitant | en tournant le dos à  , avoiding | turning one's back on
E:S:.M:M:.- , orientation dans les graphes , orientation in graphs
E:T:.m.- , à  travers , through
m.e.-k.a.-' , compétence collective , collective competence
m.o.-i.i.-' , cure , cure
O:O:.M:M:.- , fournir des ressources à  l'action , to provide resources for action
E:B:.we.- , tu féminin | toi féminin | vous féminin , you female
n.o.-y.y.-s.y.-' , encyclopédie , encyclopedia
S: , signe , sign
m.a.-l.a.-' , fabrication , manufacturing
l.i.-d.i.-t.u.-' , orienté , oriented
j.l.- , absence de réponse | absence d'écho , absence of response | absence of echo
d.g.- , qualité des documents | qualité des messages , quality of documents | quality of messages
d.o.-l.o.-s.u.-' , ordonné , ordered
d.o.-n.o.-' , science , science
b.u.-f.u.-d.u.-' , appartenance à  un genre littéraire , belonging to a literary genre
s.e.-t.u.-wa.e.-' , compétence en énumération | compétence en calcul , competence in counting | competence in calculating
c.i.- , comportement adapté , fit behavior
l.wu.- , liberté d'expression , freedom of expression
E:F:.U:M:.- , mode déclaratif , declarative mood
E:O:.s.- , haut direction | devant direction , top direction | front direction
E:O:M:. , variation , variation
k.j.- , communauté de langage re-créée , re-created language community
n.o.-s.o.-s.u.-' , cultivé , cultivated
s.a.-m.a.-f.o.-' , époux , spouse
M:M:.O:M:.- , base du développement humain , basis of human development
T: , chose , thing
k.a.-s.a.-' , diplomatie , diplomacy
t.-S:.A:.-' , été , summer
f.c.- , élection | nomination | victoire personnelle , election | appointment | personal victory
O:O:. , générer , to generate
s.e.-f.u.-wa.e.-' , compétence en interprétation de musique | compétence en chant , competence in playing music | competence in singing
E:F:A:. , nécessité logique doit , logical necessity must
b.o.-y.y.-' , communication scientifique , scientific communication
k.u.-k.u.-d.u.-' , sacré , sacred
M:M:.y.- , intelligence , intelligence
i.n.- , provoquer un accident , to provoke an accident
k.a.-f.a.-f.o.-' , pourvoyeur , provider
h.p.- , modification des spécifications , modification of specifications
m.u.-f.u.-' , sourire , smile
e.e.- , exercer une compétence , to exercise a competence
k.o.-u.u.-' , manière de parler , manner of speaking
n.a.-m.a.-' , homme , man
U: , virtuel , virtual
t.e.-s.u.-' , design original , original design
b.e.-m.u.-' , scène culturelle , cultural scene
wa.M:M:.- , cultiver la force de l'action , to cultivate strength of action
m.o.-j.j.-' , œuvre d'art , work of art
E:B:.l.- , à  cet endroit | ici même , at the place | here
n.p.- , évolution du marché , market evolution
n.i.-k.i.-' , marchandise , merchandise
n.e.-t.a.-wa.e.-' , compétence en établissement dune tradition , competence in establishing a tradition
wo.i.- , choisir l'équipement , to choose equipment
we.F:.- , interrompre la sensori-motricité , to shut off sensorimotricity
f.i.-n.i.-t.u.-' , armé , armed
t.O:M:.- , mémoire actualisée , act off the beat
m.O:M:.- , affect actualisé , despise emotions
o.n.- , être fermé d'esprit , to be narrow-minded
M:M:.A:M:.- , base du développement humain dans l'actuel , basis of human development into the actual
s.o.-a.a.-s.y.-' , sociologie , sociology
b.a.-t.a.-f.o.-' , comptable , accountant
m.e.-m.a.-wa.e.-' , compétence en sollicitude , competence in concern
wa. , opérer , to operate
we.t.- , régler son emploi du temps , to manage one's timetable
l.-M:.O:.-' , direction spatiale , spatial direction
d.a.-k.a.-f.o.-' , inspecteur , inspector
k.u.-m.u.-d.u.-' , stigmatisé , stigmatized
b.M:O:.- , contrainte de communication d'un cycle de création-innovation , communication constraints of a creation-innovation cycle
E:E:T:. , accusatif | complément d'objet direct , accusative | direct object
a.m.- , abandonner , to give up
k.o.-e.e.-s.y.-' , association professionnelle , professional associations
d.o.-j.j.-s.y.-' , logique , logic
M:O:.d.- , obstacle dans le défaut de vérité | obstacle dans le défaut de rigueur , obstacle in truth deficiency | obstacle in rigor imperfection
k.a.-d.a.-f.o.-' , vendeur , vendor
b.a.-n.a.-f.o.-' , procureur , prosecutor
l.e.-l.i.-' , structuration de l'espace , space structuring
k.i.-m.i.-' , terrain de jeu , playing ground
x.m.- , conflit de travail | conflits au travail , labour dispute | conflicts at work
s.i.-l.i.-t.u.-' , articulé , articulated
m.a.- , parent , parent
y.k.- , ignorer les relations , to ignore relations
d.e.-l.i.-wa.e.-' , compétence en la maîtrise de la construction , competence in the mastery of construction
k.o.-b.o.-s.u.-' , civil , civil
a.wu.- , mener une action politique , to lead a political action
k.o.-c.c.-' , relations urbaines | liens sociaux , urban relations | social bonds
s.a.-n.a.-' , avancée , advance
O:M:.a.- , performer dans le rapport social , to perform in social relationship
f.a.-m.a.-f.o.-' , mère , mother
t.o.-l.o.-' , harmonie , harmony
n.u.-m.u.-d.u.-' , imité , imitated
h.wu.- , découverte existentielle , existential discovery
s.o.-g.g.-' , forme de communication , form of communication
m.a.-s.a.-' , médiation , mediation
E:B:.O:O:.- , deuxième personne , second person
M:O:.u.- , condition de l'énonciation , condition of enunciation
l.c.- , pays | projection territoriale de la création politique , country | territorial projection of political creation
b.e.-f.u.-' , scène musicale , music scene
t.o.-o.o.-s.y.-' , mémoire institutionnelle , institutional memory
k.i.-t.i.-' , magasin | entrepôt , store | storage
p.l.- , illusion d'autosuffisance , illusion of self-sufficiency
m.e.-d.a.-' , méthode d'investigation , method of investigation
we.c.- , rassembler la communauté , to unify the community
t.a.-m.a.-f.o.-' , ancêtre , ancestor
b.u.-d.u.-d.u.-' , partiel | incomplet , partial | incomplete
t.-B:.U:.-' , printemps , spring season
s.i.-d.i.-' , émetteur , transmitter
u.s.- , défigurer | rendre illisible , to disfigure | to deface
t.i.-l.i.-t.u.-' , urbain , urban
i.a.- , acheter , to buy
n.e.-l.a.-wa.e.-' , compétence en protection d'un groupe , competence in protecting a group
wa.A:.- , exhiber une signature | exhiber des traces | exhiber une empreinte , to display a signature | to display tracks | to display a footprint
a.e.-we.h.-' , cultiver le développement humain , to cultivate human development
h.c.- , changement de direction | changement de 'management' , change of management
t.e.-l.u.-' , découverte scientifique , scientific discovery
o.a.-we.h.-' , affirmer des valeurs culturelles , to assert cultural values
o.wu.- , utiliser le droit pénal , to use criminal law
s.o.-g.g.-s.y.-' , théories de la communication , communication theories
n.a.-t.a.-' , procès , trial
f.x.- , utilisateur satisfait , satisfied user
g.e.- , expression du pouvoir ordre | décret , expression of power order | decree
we.O:O:.- , traverser le cycle reproducteur , to go through the reproductive cycle
t.o.-b.o.-' , récit , narrative
