"o.wa.-","use administrative /commercial law"
"O:M:.a.-","perform in social relationship"
"h.wu.-","existential discovery"
"d.e.-l.i.-wa.e.-’","mastery of construction"
"t.a.-m.a.-f.o.-’","ancestor"
"E:B:.O:O:.-","second person"
"k.i.-t.i.-’","store | storage"
"M:O:.u.-","condition of enunciation"
"s.i.-d.i.-’","transmitter"
"l.c.-","country | territorial projection of political creation"
"s.a.-n.a.-’","advance"
"p.l.-","illusion of self-sufficiency"
"we.c.-","unify the community"
"l.e.-l.i.-’","space structuring"
"b.u.-d.u.-d.u.-’","partial | incomplete"
"n.i.-k.i.-’","merchandise"
"m.e.-d.a.-’","method of investigation"
"b.e.-f.u.-’","music scene"
"u.s.-","disfigure | deface"
"k.o.-b.o.-s.u.-’","civil"
"l.a.-b.a.-f.o.-’","public relations specialist"
"i.a.-","buy"
"b.a.-n.a.-’","accusation"
"wa.A:.-","display signatures / tracks / footprints"
"t.o.-b.o.-’","narrative"
"h.c.-","change of management"
"o.wu.-","use criminal law"
"k.i.-f.i.-t.u.-’","digested"
"t.e.-l.u.-’","scientific discovery"
"f.x.-","satisfied user"
"o.a.-we.h.-’","assert cultural values"
"we.O:O:.-","going through the reproductive cycle"
"g.e.-","expression of power (order | decree)"
"E:S:.l.-","(point of) arrival"
"we.","react"
"E:U:.d.-","down | downwards"
"E:A:.j.-","by analogy (in a similar manner)"
"E:O:.f.-","low (relative to a part) | behind (relative to a part)"
"n.a.-t.a.-’","trial"
"E:A:.wa.-","our | your | their"
"E:T:T:.","everywhere"
"O:O:.f.-","provide resources for action through the relation to the body"
"l.-T:.U:.-’","spatial zenith"
"f.i.-t.i.-’","fat"
"n.i.-d.i.-’","wheel | lever"
"t.i.-l.i.-t.u.-’","urban"
"n.e.-l.a.-wa.e.-’","protecting a group"
"p.y.-","contemplation of the knowledge object"
"wa.g.-","improve the communication system"
"s.i.-k.i.-’","fertilizer"
"u.a.-we.h.-’","cultivate collective memory"
"d.u.-n.u.-’","deictic"
"E:B:.wa.-","you (plural)"
"wu.wu.-","be mature"
"t.-B:.A:.-’","autumn | fall (season)"
"s.wu.-","analysis of perceptions"
"wu.a.-","discern characters"
"j.p.-","new analysis"
"i.M:M:.-","undermine the technical function"
"E:T:.i.-","should"
"d.u.-b.u.-d.u.-’","advised"
"M:O:.","mutation"
"k.-T:.U:.-’","light (weight)"
"n.e.-d.a.-’","informing the public"
"s.o.-k.o.-s.u.-’","conscious"
"d.a.-k.a.-f.o.-’","inspector"
"a.e.-we.h.-’","cultivate human development"
"c.m.-","harrassment | persecution"
"k.wo.-","school of thought"
"wa.x.-","improve the technical system"
"f.g.-","faithful spokesman | faithful representative"
"t.i.-k.i.-t.u.-’","stocked"
"s.-A:.U:.-T:.A:.-’","project: tactics"
"b.o.-f.o.-’","courage"
"s.u.-d.u.-d.u.-’","located"
"E:M:U:.","inferential may"
"O:M:.O:O:.-","gain empowerment"
"e.i.-","give"
"a.d.-","be superficial"
"h.t.-","forgetfullness"
"l.o.-t.o.-s.u.-’","far"
"k.u.-s.u.-’","mandala"
"s.i.-m.i.-t.u.-’","mechanical"
"M:M:.p.-","economic creation-innovation cycle"
"E:U:.wo.-","this | this one"
"n.M:O:.-","sustainable transformations resulting from a creation-innovation cycle"
"E:B:.p.-","patient"
"k.o.-k.o.-’","peace"
"t.e.-s.u.-wa.e.-’","image creation | graphic design"
"wo.m.-","change emotional patterns"
"o.j.-","choose a mode of expression"
"b.o.-","taste for language"
"b.i.-s.i.-’","atmosphere"
"b.u.-f.u.-d.u.-’","belonging to a literary genre"
"l.p.-","skills network"
"h.O:O:.-","generative meaning change"
"x.M:O:.-","transformation on concrete basis"
"f.i.-m.i.-t.u.-’","sexual"
"b.e.-b.u.-’","cultural exchange"
"b.i.-s.i.-t.u.-’","atmospheric"
"we.p.-","unify partial goals into a common vision"
"b.o.-m.o.-’","beauty"
"n.e.-d.a.-wa.e.-’","releasing the truth"
"x.i.-","manufacturing | execution"
"f.i.-l.i.-t.u.-’","supported"
"y.g.-","consider possible discourses"
"b.e.-s.u.-wa.e.-’","visual refinement"
"y.T:.-","dig | pierce | sculpt"
"c.O:M:.-","actualizing personal process (actual)"
"i.e.-we.h.-’","invest in business"
"s.o.-b.o.-’","inspiration"
"y.wo.-","assume a work’s responsibility"
"b.a.-k.a.-’","political action"
"s.e.-n.u.-wa.e.-’","vocabulary"
"s.a.-l.a.-f.o.-’","innovator"
"O:M:.e.-","perform in abilities"
"t.i.-m.i.-t.u.-’","precious"
"M:M:.i.-M:M:.i.-t.u.-’","technical qualities"
"s.i.-n.i.-t.u.-’","refrigerated"
"k.i.-d.i.-t.u.-’","price"
"s.-A:.U:.-M:.O:.-’","acts level"
"s.-B:.A:.-’","decreasing | diminishing | waning"
"p.h.-","new conception | new plan"
"E:F:.e.-","abilitative mood"
"b.u.-n.u.-’","verb"
"l.u.-s.u.-’","mold"
"a.","be commited"
"u.o.-","adhere (to ideas)"
"k.a.-b.a.-’","show"
"wo.A:.-","control force"
"y.x.-","review possible methods"
"n.i.-n.i.-’","energy"
"O:M:.j.-","work on the medium"
"b.u.-d.u.-’","metonymy | part"
"wu.f.-","immerse oneself in sensations"
"j.s.-","slip of tongue | articulation deficiency"
"k.o.-n.o.-s.u.-’","just"
"O:M:.e.-we.h.-’","improve collective intelligence by augmenting power"
"m.o.-b.o.-’","expression"
"E:T:.d.-","towards"
"k.i.-n.i.-t.u.-’","assembled | manufactured"
"b.","language"
"M:M:.-(O:M:.-+M:O:.-)(E:.-+s.y.-)’","Humanities and social sciences"
"E:M:.b.-","dynamic beginning"
"y.b.-","do not abstract"
"c.we.-","family event"
"x.d.-","execution flaw"
"b.e.-k.u.-wa.e.-’","personal interpretation ability"
"n.-T:.A:.-’","water"
"t.e.-b.u.-’","won-over public"
"b.e.-","reasoning ability (dialectic)"
"c.","personal mutation"
"E:O:.B:O:.-","manner of orientation"
"i.u.-","borrow"
"g.y.-","gathering and categorization of data"
"a.g.-","commit oneself to one’s discourse"
"u.j.-","analyze one’s language"
"d.wa.-","ethical constraint"
"u.O:M:.-we.h.-’","to improve collective intelligence through communication"
"E:T:.u.-","has expressed"
"t.u.-m.u.-d.u.-’","auditive"
"s.-U:.U:.-M:.O:.-’","facts level"
"E:U:.wa.-","these"
"b.a.-m.a.-’","erotism"
"n.i.-t.i.-t.u.-’","consumed"
"s.e.-k.u.-’","reading | writing"
"l.u.-n.u.-’","occurrence | event"
"wa.c.-","renew the community"
"E:B:.c.-","variable"
"t.u.-m.u.-’","sound"
"a.x.-","get involved in one’s work"
"s.o.-s.o.-s.u.-’","intelligent"
"d.","truth"
"m.u.-l.u.-’","memory | recollection"
"E:B:A:.","authority"
"n.a.-d.a.-’","purchase"
"d.a.-b.a.-’","show production"
"m.a.-f.a.-’","help"
"b.i.-k.i.-t.u.-’","monumental"
"t.i.-f.i.-t.u.-’","genetic"
"n.e.-n.a.-wa.e.-’","forging values"
"wo.","reflect"
"k.e.-n.a.-wa.e.-’","self-evaluation"
"k.e.-m.a.-’","affective autonomy"
"m.i.-n.i.-’","cleaning device"
"E:F:.O:M:.-","conjugation"
"d.o.-t.o.-’","learning"
"s.i.-d.i.-t.u.-’","emitted | broadcasted"
"wu.O:M:.-","exert critical judgement"
"we.O:M:.-","renew the activity"
"l.o.-k.o.-’","territory"
"k.o.-m.o.-’","friendship"
"e.","can"
"E:A:.e.-","abling | enabling"
"h.wo.-","conversion"
"we.y.-","rebuild knowledge"
"M:O:.k.-","obstacle in community deficency"
"t.o.-f.o.-s.u.-’","periodical"
"f.u.-k.u.-’","vision"
"wo.wa.-","celebrate"
"s.o.-l.o.-’","proportion"
"l.e.-b.i.-wa.e.-’","computer engineering"
"wa.t.-","take risks"
"l.u.-l.u.-d.u.-’","material"
"f.i.-m.i.-’","sexuality"
"d.i.-k.i.-t.u.-’","monetary"
"E:S:.wo.-","I | me"
"l.M:O:.-","manifestation in space of a creation-innovation cycle"
"m.a.-n.a.-’","cause"
"wo.S:.-","control image (size | color | shape)"
"e.p.-","be at the proper level for a subject"
"O:M:.wa.-","gain in economic power"
"l.a.-t.a.-f.o.-’","cartographer"
"f.","life"
"m.u.-d.u.-’","make-up"
"wo.a.-","find one’s rightful place"
"o.M:O:.-","orient one’s production"
"p.wo.-","shift of interests / of attention"
"E:F:.A:M:.-","performative mood"
"b.u.-n.u.-d.u.-’","acting"
"l.i.-l.i.-t.u.-’","networked"
"E:B:.t.-","far | over there"
"f.a.-m.a.-’","woman"
"n.x.-","transformation of the practical universe"
"E:S:.j.-","set"
"a.O:O:.-","create | initiate"
"s.-U:.U:.-T:.U:.-’","project: conditions"
"n.i.-l.i.-’","glue | joint"
"c.t.-","obsolescence"
"l.e.-m.i.-’","poetic world"
"p.c.-","evolution of the demand"
"g.","document mutation"
"d.M:O:.-","truth of a creation-innovation cycle | exactness & rigor of a creation-innovation cycle"
"b.u.-l.u.-’","quotation"
"O:O:.d.-","provide resources for action through concern for truth"
"M:O:.O:O:.-","generative mutation"
"d.o.-l.o.-’","order"
"M:M:.wo.-","intellectual sources of meaning"
"k.u.-f.u.-d.u.-’","holy"
"we.l.-","increase one’s working capacity"
"t.o.-k.o.-’","tradition"
"d.a.-","researcher"
"y.s.-","neglect intellectual discipline"
"n.g.-","change of public behavior"
"h.","signified mutation"
"a.i.-we.h.-’","organize the work"
"j.f.-","lack of aesthetic sensibility"
"x.u.-","publication | delivery"
"n.O:O:.-","sources of meaning in the relation to the cosmos"
"s.a.-b.a.-’","role"
"o.e.-","specify"
"f.a.-l.a.-f.o.-’","rescuer"
"b.o.-k.o.-s.u.-’","communicated"
"c.c.-","social bond mutation"
"E:M:.s.-","structural beginning"
"u.y.-we.h.-’","specify information"
"i.","do"
"g.l.-","intellectual closedness | intellectual rigidity"
"n.wu.-","creative imagination"
"l.o.-l.o.-s.u.-’","complex"
"y.F:.-","perform a topological act"
"E:A:T:.","a lot, very | quantitative more"
"E:F:.wa.-","plural number"
"m.e.-s.a.-wa.e.-’","understanding others"
"E:O:.m.-","middle (relative to a part) | center (relative to a part)"
"s.u.-k.u.-d.u.-’","visualized"
"m.i.-","toy"
"h.j.-","new choice"
"p.t.-","waste | loss of capital | erosion of capital"
"E:U:.m.-","at same level as"
"s.e.-l.u.-’","nature"
"i.h.-","elaborate an interpretation"
"E:U:.we.-","this (feminine)"
"j.","signifier mutation"
"m.a.-t.a.-’","contract"
"O:M:.n.-","shrink the world"
"s.-A:.A:.-T:.A:.-’","percept: qualia"
"t.y.-","memory management"
"l.e.-l.i.-wa.e.-’","architecture"
"k.u.-","symbol"
"t.e.-n.u.-wa.e.-’","literary writing"
"f.a.-s.a.-’","consultation"
"n.e.-f.a.-’","recovery"
"wu.j.-","assess symbolic systems in use"
"m.a.-d.a.-f.o.-’","partner"
"wu.","perceive"
"we.B:.-","insulate thermally / chemically"
"s.u.-s.u.-d.u.-’","ideal"
"M:M:.-S:.U:.-’","abstract north"
"m.-T:.U:.-’","joy"
"b.i.-m.i.-’","jewel"
"d.o.-d.o.-’","investigation"
"m.u.-f.u.-d.u.-’","pleasant"
"f.e.-s.i.-’","body-mind synchrony"
"n.i.-f.i.-’","hand | foot"
"k.","society"
"f.u.-d.u.-d.u.-’","remarkable"
"b.i.-","medium"
"u.f.-","shun sensations"
"i.y.-","to compute"
"a.k.-","stir up conflict"
"g.M:M:.-","obstacle related to communication"
"s.-U:.A:.-S:.U:.-’","concept: essence"
"d.we.-","technical constraint"
"n.o.-l.o.-s.u.-’","cosmic"
"s.a.-d.a.-f.o.-’","mentor"
"f.o.-l.o.-s.u.-’","organised"
"s.o.-m.o.-’","humor"
"d.o.-f.o.-’","experience"
"g.wo.-","initiation | new name"
"t.u.-s.u.-’","character | typography"
"E:M:M:.","spatiotemporal distribution (adverb)"
"l.wa.-","freedom of movement"
"l.","space"
"l.u.-t.u.-’","quality"
"s.a.-s.a.-f.o.-’","philosopher"
"E:B:.g.-","selection"
"f.e.-d.i.-’","precise gesture"
"wo.we.-","mourn"
"E:M:.T:O:.-","existential cause | existential role"
"l.e.-s.i.-wa.e.-’","interconnecting systems"
"k.O:O:.-","sources of meaning in community"
"b.wo.-","intellectual exchange"
"f.a.-d.a.-’","repair"
"m.","affect"
"we.u.-","update documentation"
"t.u.-n.u.-’","proper name"
"k.o.-f.o.-s.u.-’","collaborative"
"O:O:.m.-","provide resources for action through emotional fluidity"
"O:M:.O:.-","move in relation to center"
"t.a.-f.a.-f.o.-’","pharmacist"
"M:O:.g.-","transformation in expression"
"f.wu.-","brilliance of perceptions"
"y.B:.-","tie | attach"
"E:A:.a.-","committing"
"M:M:.u.-","semiotic function"
"wa.p.-","meet the objectives"
"i.a.-we.h.-’","maintain infrastructure"
"n.","world"
"M:M:.h.-","cultural creation-innovation cycle"
"f.i.-l.i.-’","frame | framework"
"k.-B:.U:.-’","high-pitched"
"s.i.-b.i.-’","multimedia studio"
"wo.e.-","identify competences"
"e.O:M:.-we.h.-’","improve collective intelligence through power"
"e.t.-","offend"
"n.a.-l.a.-’","public order"
"l.a.-f.a.-f.o.-’","ecologist | environmentalist"
"l.i.-t.i.-t.u.-’","closed | packed"
"p.O:M:.-","actualizing referential process (virtual)"
"E:B:.M:M:.-","subjective orientation"
"E:B:.x.-","agent"
"E:S:.f.-","well"
"M:O:.x.-","transformation in concrete things"
"o.","want"
"m.o.-n.o.-s.u.-’","wise"
"c.x.-","change of owner"
"n.a.-b.a.-f.o.-’","journalist"
"f.e.-b.i.-’","grace"
"E:S:A:.","condition"
"l.u.-f.u.-’","grain | texture"
"s.i.-s.i.-t.u.-’","switched on"
"we.h.-","give a meaning to the activity"
"O:M:.we.-","gain in family empowerment"
"n.u.-d.u.-d.u.-’","tagged"
"l.o.-d.o.-s.u.-’","in lign | directed"
"l.x.-","moving | spatial arrangement"
"p.","referent mutation"
"b.a.-k.a.-f.o.-’","activist"
"m.u.-m.u.-’","face"
"m.i.-f.i.-t.u.-’","caressed"
"f.u.-l.u.-’","age"
"s.j.-","poetic project | poetic dimension of a creation-innovation project"
"y.o.-","establish priorities"
"n.c.-","political evolution"
"O:M:.M:M:.-","undermine human development"
"b.-B:.A:.-’","red"
"x.wo.-","transformative chance"
"j.j.-","intellectual mutation"
"s.-A:.U:.-B:.A:.-’","performance: carrying out"
"d.e.-","technical know how (grammar)"
"wa.S:.-","display / broadcast image"
"s.o.-d.o.-s.u.-’","humble"
"c.g.-","confidence renewal"
"o.a.-","lead"
"t.h.-","spiritual heritage"
"t.a.-f.a.-’","pharmacy"
"d.-S:.A:.-’","soft | supple"
"l.o.-l.o.-’","complexity"
"E:T:.we.-","her | she | them (feminine)"
"n.o.-n.o.-’","human being"
"n.e.-t.a.-’","civilization"
"k.h.-","re-created community of spirit"
"t.i.-n.i.-’","heating device"
"k.i.-k.i.-’","economic good"
"b.u.-t.u.-’","instruction"
"e.U:.-","pull"
"t.o.-b.o.-s.u.-’","narrated"
"t.o.-m.o.-s.u.-’","hoped for"
"f.O:M:.-","life actualized"
"wa.wa.-","strive"
"M:M:.u.-M:M:.u.-’","semiotic functions"
"l.u.-s.u.-d.u.-’","casted"
"g.p.-","new deliberation"
"f.a.-","healer"
"l.g.-","message diffusion graph"
"p.p.-","mutation of forces in play"
"n.i.-t.i.-’","fuel"
"m.i.-m.i.-’","fetish"
"m.e.-","negotiation ability (dialectic)"
"h.n.-","opportunism"
"i.l.-","be caught in a trap"
"E:U:.i.-","be done"
"e.c.-","prepare oneself for change"
"E:S:.M:O:.-","specifying cause"
"O:A:.","generate towards the actual"
"a.O:M:.-we.h.-’","to improve collective intelligence through the social bond"
"k.e.-k.a.-’","performance"
"E:T:.l.-","in | inside"
"m.o.-d.o.-s.u.-’","sincere"
"x.l.-","expulsion from housing | habitat destruction"
"E:F:.y.-","indicative mood"
"f.u.-l.u.-d.u.-’","aged"
"n.o.-f.o.-s.u.-’","healthy"
"j.k.-","syntactic mistake | lexical inappropriateness"
"y.j.-","examine possible media"
"s.-O:.O:.-S:.U:.-’","essential reason"
"wu.S:.-","see | recognize visual forms"
"n.i.-f.i.-t.u.-’","taken | possesed"
"B:M:.O:M:.-","basis of being for human development"
"m.-S:.U:.-’","fear"
"s.a.-k.a.-’","parliament"
"O:M:.b.-","misuse language"
"E:M:.j.-","virtual formal cause"
"s.","thought"
"s.-O:.O:.-T:.A:.-’","formal imagination"
"E:S:S:.","never"
"k.i.-","gift"
"t.u.-k.u.-’","scriptures"
"A:M:.","act actually"
"M:M:.i.-M:M:.i.-’","technical functions"
"O:M:.A:.-","move centrifugally"
"y.y.-we.h.-’","clarify knowledge"
"s.-T:.U:.-’","dry"
"h.o.-","acceptance of impulse | liberation"
"i.m.-","use weapons"
"m.a.-l.a.-f.o.-’","blue-collar worker"
"t.","memory"
"j.wo.-","reflection turning point"
"t.i.-f.i.-’","genetic code | DNA"
"a.we.-","create a family"
"l.we.-","economic responsibility"
"M:M:.i.-","technical function"
"m.o.-f.o.-s.u.-’","seductive"
"j.M:M:.-","poetic obstacle"
"u.S:.-","fly | travel through air"
"E:B:.k.-","at the limit of"
"E:M:A:.","inferential must"
"n.a.-l.a.-f.o.-’","police officer"
"e.u.-","deliberate"
"a.p.-","get involved in one’s subject"
"O:M:.s.-","neglect thought"
"b.u.-f.u.-’","literary form | literary genre"
"u.","express"
"x.O:O:.-","generative material change"
"e.F:.-","place / displace objects"
"n.o.-d.o.-s.u.-’","evaluated | assessed"
"E:M:.M:M:.-","where | place according to path orientation (adverb | preposition | conjunction)"
"u.a.-","promise"
"m.a.-n.a.-f.o.-’","volunteer"
"E:A:.m.-","in the middle of"
"c.y.-","obtaining a diploma | obtaining credit for competency"
"f.o.-t.o.-s.u.-’","growing"
"O:O:.i.-","work on equipment"
"l.-B:.A:.-’","spatial west"
"k.o.-s.o.-’","government"
"E:S:B:.","sometimes"
"a.M:O:.-","commit to one’s production"
"e.M:O:.-","master one’s production"
"y.U:.-","fold | wrap"
"d.a.-t.a.-f.o.-’","banker"
"wu.wa.-","be young"
"f.i.-d.i.-’","detector | sensor"
"M:O:.c.-","transformation in the social relationship"
"E:U:O:.","deconstructive mode"
"wa.l.-","increase one’s range of action"
"y.a.-we.h.-’","innovate in social matters"
"f.u.-t.u.-’","musical note"
"d.e.-b.i.-’","augmented communication"
"s.e.-","mastery of codes (grammar)"
"s.-U:.U:.-S:.A:.-’","enunciation: truth value"
"O:O:.S:.-","control visual experience"
"d.j.-","originality | distinct expression"
"E:S:.b.-","source"
"t.c.-","political legacy | political tradition"
"S:M:.O:M:.-","basis of sign for human development"
"f.e.-m.i.-’","taste"
"t.a.-b.a.-f.o.-’","editor | publisher"
"l.O:M:.-","space actualized"
"u.e.-we.h.-’","produce didactic materials"
"i.we.-","equip a household"
"d.u.-f.u.-’","presence"
"f.i.-t.i.-t.u.-’","fed"
"k.e.-t.a.-wa.e.-’","memory training"
"f.-M:.O:.-’","taste"
"d.u.-t.u.-’","hyperlink"
"y.O:M:.-we.h.-’","improve collective intelligence through knowledge"
"l.e.-m.i.-wa.e.-’","artistic competence"
"b.a.-s.a.-’","reading"
"d.O:O:.-","sources of meaning in rigor"
"M:O:.t.-","obstacle in time"
"n.e.-m.a.-wa.e.-’","inspiring harmony"
"c.l.-","exile"
"wa.y.-","master knowledge"
"n.o.-b.o.-s.u.-’","stylish"
"p.k.-","company closing down | breach of contract | bankruptcy"
"b.o.-d.o.-’","clarity"
"E:T:.M:O:.-","realizing cause"
"E:A:.wo.-","my | your | its"
"s.-A:.U:.-S:.A:.-’","enunciation: locutory force"
"b.-T:.U:.-’","white"
"we.d.-","adopt a measurement system"
"x.","material mutation"
"n.o.-f.o.-’","health"
"n.e.-l.a.-’","collective security | collective safety"
"e.h.-","follow a method of interpretation"
"n.u.-k.u.-’","virtue"
"O:O:.wa.-","bloom"
"wu.o.-","question oneself"
"n.o.-","longing for cosmos"
"f.u.-n.u.-d.u.-’","attributed"
"b.i.-d.i.-’","display device"
"m.u.-d.u.-d.u.-’","made-up"
"M:A:.","actual mutation"
"wo.j.-","consider other symbolic systems"
"h.b.-","manipulative language | manipulation"
"y.","know"
"l.a.-n.a.-f.o.-’","defender"
"k.-S:.U:.-’","dark"
"g.d.-","calculation mistake"
"E:O:.S:O:.-","manner of comparison"
"k.i.-b.i.-’","operating system"
"o.m.-","lack empathy"
"E:S:.s.-","origin"
"t.wu.-","connecting thread"
"E:T:.wa.-","them"
"E:E:U:.","attribute of the noun"
"n.u.-b.u.-d.u.-’","proposed"
"l.o.-f.o.-s.u.-’","resident"
"n.u.-s.u.-d.u.-’","total | integral"
"d.u.-l.u.-d.u.-’","suspected"
"E:A:.O:M:.-","active voice"
"wa.we.-","fall asleep"
"E:U:.e.-","able | enabled"
"s.e.-f.u.-’","musical performance"
"x.h.-","new obtention"
"s.o.-d.o.-’","humility"
"s.-A:.A:.-S:.U:.-’","concept: semantic content"
"m.e.-s.a.-’","teachings from others"
"o.we.-","use family law"
"wu.b.-","develop poetic sensitivity"
"j.o.-","unveiling of the unconscious"
"k.a.-n.a.-f.o.-’","jury"
"k.a.-k.a.-’","city | political unit"
"n.a.-f.a.-f.o.-’","physician"
"E:U:B:.","as good"
"E:T:.h.-","machine"
"y.f.-","intoxicate"
"d.o.-t.o.-s.u.-’","learned"
"b.-M:.O:.-’","color"
"k.u.-b.u.-d.u.-’","revealed"
"E:F:.u.-","expressive mood"
"t.a.-s.a.-f.o.-’","translator"
"O:M:.f.-","weaken the body"
"E:M:.f.-","dynamic termination"
"l.u.-d.u.-d.u.-’","sampled"
"s.-U:.A:.-T:.A:.-’","percept: foreground"
"d.u.-n.u.-d.u.-’","contexual"
"t.i.-t.i.-’","recording device"
"c.M:M:.-","socio-political obstacle"
"g.u.-","organization of ideas"
"b.a.-","storyteller"
"a.wa.-","create a company"
"u.n.-","take refuge in anonymity"
"x.y.-","experience | experimentation"
"s.-O:.O:.-B:.U:.-’","qualitative judgement"
"B:O:.","being in mutation"
"a.c.-","accept one’s transformation"
"u.A:.-","go"
"h.s.-","confusion"
"E:T:.y.-","has known"
"i.y.-we.h.-’","provide tools for thought"
"m.e.-n.a.-wa.e.-’","moral judgement"
"s.a.-s.a.-’","symbolic order"
"e.y.-","synthetize"
"a.t.-","imitate | plagiarize"
"l.-S:.A:.-’","spatial south"
"k.i.-s.i.-’","recycling"
"f.-B:.A:.-’","bitter"
"E:B:.o.-","want (now)"
"f.a.-t.a.-f.o.-’","insurance broker"
"k.a.-l.a.-f.o.-’","unionized"
"k.e.-s.a.-’","psychic autonomy"
"b.e.-n.u.-’","literary life"
"g.O:O:.-","generative message change"
"m.i.-b.i.-’","perfume"
"y.M:O:.-","consider possible productions"
"E:A:.i.-","be doing"
"s.a.-b.a.-f.o.-’","actor"
"T:O:.O:M:.-","condition of activity in thing"
"l.o.-t.o.-’","travel"
"n.i.-l.i.-t.u.-’","glued | joint"
"E:M:.S:M:.-","beginning"
"E:T:U:.","by logical necessity"
"E:U:.O:M:.-","passive voice"
"m.i.-n.i.-t.u.-’","cleaned"
"E:O:A:.","logical must"
"O:O:.e.-","work on skills"
"wu.we.-","grow old"
"d.-M:.O:.-’","tactile quality"
"we.m.-","cultivate emotional equilibrium"
"E:U:S:.","worse"
"wa.h.-","deepen the meaning of the activity"
"O:O:.A:.-","control tactile experience"
"wa.d.-","experiment"
"s.e.-t.u.-’","arithmetic operation"
"l.a.-d.a.-’","company | business"
"m.u.-b.u.-d.u.-’","bewitched"
"n.u.-n.u.-’","question"
"a.S:.-","breathe"
"e.l.-","undertake an impractical course of action"
"h.M:O:.-","transformation on will basis"
"s.a.-","interpreter"
"b.e.-l.u.-wa.e.-’","scientific culture"
"f.j.-","aesthetic vibration between people | aesthetic connection between people"
"e.e.-we.h.-’","solve problems"
"m.e.-b.a.-’","dialogue"
"s.i.-m.i.-’","robot | mechanism"
"s.O:M:.-","thought actualized"
"i.O:M:.-","perform on a concrete basis"
"M:O:.p.-","transformation in ability"
"l.e.-d.i.-’","coordinate system"
"s.-U:.U:.-B:.A:.-’","performance: felicity"
"p.g.-","new judgement"
"we.wo.-","be born"
"l.a.-l.a.-f.o.-’","warrior"
"n.o.-t.o.-’","progress"
"c.p.-","evolution of the offer"
"wa.u.-","find / show information"
"d.e.-k.i.-wa.e.-’","commercial know-how"
"m.wo.-","appeal of the unknown"
"k.e.-d.a.-wa.e.-’","acknowledging the facts"
"n.e.-s.a.-wa.e.-’","giving meaning to a group"
"d.i.-d.i.-’","quantitative data"
"t.i.-b.i.-t.u.-’","informative"
"i.d.-","break down mechanism | wreck"
"m.a.-k.a.-’","neighbour"
"d.e.-m.i.-’","body code | dress code"
"s.-U:.O:.-M:.O:.-’","noetic transcendance"
"f.u.-f.u.-’","illusion"
"l.u.-b.u.-d.u.-’","transcribed"
"we.T:.-","lay down foundations | create an unmovable base | insulate from movement"
"t.e.-d.u.-wa.e.-’","information architecture"
"t.p.-","accumulation | gain | benefit"
"l.o.-f.o.-’","dwelling"
"h.f.-","break-up"
"t.a.-l.a.-’","archive"
"wo.n.-","change world representation"
"U:O:.","generate from the virtual"
"E:S:.o.-","will want"
"k.a.-n.a.-’","tribunal"
"o.i.-","make an application"
"m.i.-l.i.-t.u.-’","clothed | covered"
"f.o.-l.o.-’","organisation"
"g.h.-","change of ideas"
"E:U:.a.-","committed"
"l.o.-","space organization"
"E:M:.B:M:.-","intermediary"
"l.i.-l.i.-’","network"
"d.a.-m.a.-’","descendants"
"k.u.-d.u.-d.u.-’","illuminated"
"j.b.-","redundancy"
"p.x.-","exchange"
"wu.s.-","develop intellectual sensitivity"
"l.i.-n.i.-t.u.-’","cut | pierced"
"m.i.-s.i.-’","lure"
